instname,city,state,zip
JANARDS BEAUTY SCHOOL,MECHANICSVILLE,VA,231111628
TRC-JAN MAR BEAUTY ACADEMY,NEWPORT NEWS,VA,236063882
James Madison University,Harrisonburg,VA,22807
J Sargeant Reynolds Community College,Richmond,VA,23228
INSURANCE SEMINARS,RICHMOND,VA,23236
INSTITUTE OF TEXTILE TECHNOLOGY,CHARLOTTESVILLE,VA,22903-4614
INDIAN RIVER BEAUTY ACADEMY,VIRGINIA BEACH,VA,23464-342
CLASS ONE THE DESIGN SCHOOL FOR HAIR,LYNCHBURG,VA,245025622
Hollins University,Roanoke,VA,24020
Hicks Academy of Beauty Culture,Portsmouth,VA,23707
Hampton University,Hampton,VA,23668-009
Hampden-Sydney College,Hampden-Sydney,VA,23943-012
GLAMOUR LIMITED,VIRGINIA BEACH,VA,23455
Germanna Community College,Locust Grove,VA,22508-210
George Mason University,Fairfax,VA,22030-444
FRONT ROYAL BEAUTY SCHOOL,FRONT ROYAL,VA,22630
FREDERICKSBURG BIBLE INSTITUTE,FREDERICKSBURG,VA,22404
Ferrum College,Ferrum,VA,24088-900
FALWELL AVIATION INC,LYNCHBURG,VA,24501
Eastern Shore Community College,Melfa,VA,23410
Eastern Mennonite University,Harrisonburg,VA,22802-246
Emory and Henry College,Emory,VA,24327-094
Centura College-Virginia Beach,Virginia Beach,VA,23452-7431
Eastern Virginia Medical School,Norfolk,VA,23507
EASTERN SCHOOL OF FARRIERY,MARTINSVILLE,VA,24114
Danville Community College,Danville,VA,24541-400
Dabney S Lancaster Community College,Clifton Forge,VA,24422-100
COMPUTER DYNAMICS INSTITUTE INC,VIRGINIA BEACH,VA,23462
Jefferson College of Health Sciences,Roanoke,VA,24016
Bryant and Stratton College-Richmond,Richmond,VA,23235
BRYANT AND STRATTON COLLEGE-HAMPTON,HAMPTON,VA,23666
Bryant and Stratton College-Virginia Beach,Virginia Beach,VA,23462
COLDWELL BANKER INSTITUTE OF REAL ESTATE,ANNANDALE,VA,22003
Suffolk Beauty Academy,Suffolk,VA,23434-302
Christopher Newport University,Newport News,VA,23606
CHRISTENDOM COLLEGE,FRONT ROYAL,VA,22630-9989
Central Virginia Community College,Lynchburg,VA,24502-249
Regent University,Virginia Beach,VA,23464-982
Medical Careers Institute,Newport News,VA,23606
Medical Careers College,Richmond,VA,23236
MedSpa Careers Institute,Richmond,VA,23236
College of William and Mary,Williamsburg,VA,23187-879
Bridgewater College,Bridgewater,VA,22812-159
Braxton School,Richmond,VA,23230-360
Bluefield College,Bluefield,VA,24605
BLUE RIDGE NURSING HOME SCHOOL,STUART,VA,24171
Blue Ridge Community College,Weyers Cave,VA,24486-008
WINCHESTER BEAUTY SCHOOL,WINCHESTER,VA,22601
CREATIONS HAIR ACADEMY,GALAX,VA,24333
Averett University,Danville,VA,24541
ATLANTIC UNIVERSITY,VIRGINIA BEACH,VA,23451
ATLANTIC BAPTIST BIBLE COLLEGE INC,CHESTER,VA,23836
ARTISTIC BEAUTY COLLEGE,DANVILLE,VA,24541
ANTHONYS BARBER COLLEGE,NEWPORT NEWS,VA,236075617
ALLENS BEAUTY CENTER,MARTINSVILLE,VA,24112
AL'S BEAUTY SCHOOL,ASHLAND,VA,23005
VIRGINIA AVIATION,LYNCHBURG,VA,24502
Woodbury College,Montpelier,VT,5602
Woodbury Institute at Champlain College,Montpelier,VT,5602
University of Vermont,Burlington,VT,05405-016
Vermont Law School,South Royalton,VT,05068-009
TRINITY COLLEGE OF VERMONT,BURLINGTON,VT,5401
Sterling College,Craftsbury Common,VT,05827-007
Southern Vermont College,Bennington,VT,05201-600
College of St Joseph,Rutland,VT,05701-389
School for International Training,Brattleboro,VT,5302
Saint Michaels College,Colchester,VT,5439
Saint Michael's College,Colchester,VT,5439
RUTLAND REGIONAL MEDICAL CENTER,RUTLAND,VT,5701
O'Briens Training Center,South Burlington,VT,05403-774
O'Briens Aveda Institute,South Burlington,VT,05403-7747
Green Mountain College,Poultney,VT,05764-119
Goddard College,Plainfield,VT,05667-943
Champlain College,Burlington,VT,5401
CENTER FOR NORTHERN STUDIES,WOLCOTT,VT,5680
Burlington College,Burlington,VT,5401
Bennington College,Bennington,VT,05201-600
Westminster College,Salt Lake City,UT,84105
Weber State University,Ogden,UT,84408-113
University of Utah,Salt Lake City,UT,84112-900
UTAH VALLEY HOSPITAL SCHOOL OF RADIOLOGIC TECHN,PROVO,UT,84603
Utah Valley State College,Orem,UT,84058-599
Utah Valley University,Orem,UT,84058-5999
Uintah Basin Applied Technology College,Roosevelt,UT,84066
Southern Utah University,Cedar City,UT,84720
Ogden-Weber Applied Technology College,Ogden,UT,84404-408
Everest College-West Valley City,West Valley City,UT,84119-2632
Latter Day Saints Business College,Salt Lake City,UT,84111-139
Latter-day Saints Business College,Salt Lake City,UT,84101-3500
ITT Technical Institute-Murray,Murray,UT,84123
Eagle Gate College-Murray,Murray,UT,84123-6965
Premier Hair Academy,West Valley City,UT,84120
Paul Mitchell the School-Salt Lake City,Holiday,UT,84117
Evans Hairstyling College-St George,Saint George,UT,84770
Evans Hairstyling College-Cedar City,Cedar City,UT,84720
Dixie State College of Utah,Saint George,UT,84770-387
Davis Applied Technology College,Kaysville,UT,84037-269
Sherman Kendalls Academy of Beauty Arts & Sciences,Midvale,UT,84047
Sherman Kendall's Academy-Sugarhouse,Salt Lake City,UT,84106
College of Eastern Utah,Price,UT,84501
Utah State University-College of Eastern Utah,Price,UT,84501
Cameo College of Essential Beauty,Salt Lake City,UT,84115
Brigham Young University-Hawaii,Laie,HI,96762-129
Brigham Young University,Provo,UT,84602
Brigham Young University-Provo,Provo,UT,84602
Bridgerland Applied Technology College,Logan,UT,84321
Beau La Reine College of Beauty,Logan,UT,84341
AAA TRUCK DRIVER TRAINING,SALT LAKE CITY,UT,84115
RHDC HAIR DESIGN COLLEGE,FT WORTH,TX,76115
WILLIAMS BARBER COLLEGE,FT WORTH,TX,76104
Wiley College,Marshall,TX,75670
Wharton County Junior College,Wharton,TX,77488
Western Texas College,Snyder,TX,79549-950
West Texas A & M University,Canyon,TX,79016-000
WEST TEXAS BARBER STYLING COLLEGE,AMARILLO,TX,79109
Weatherford College,Weatherford,TX,76086-569
Wayland Baptist University,Plainview,TX,79072
WADLEY REGIONAL MEDICAL CENTER-SCHOOL OF RAD TECHN,TEXARKANA,TX,75504
WADLEY REGIONAL MEDICAL CENTER SCHOOL OF MED TECH,TEXARKANA,TX,75501
VOGUE COLLEGE OF COSMETOLOGY 13,SAN ANTONIO,TX,78228
VOGUE COLLEGE OF COSMETOLOGY 15,SAN ANTONIO,TX,78210
VOGUE COLLEGE OF COSMETOLOGY 4,AUSTIN,TX,78751
VOGUE COLLEGE OF COSMETOLOGY 2,AUSTIN,TX,78704
VOGUE COLLEGE OF COSMETOLOGY 9,LUBBOCK,TX,79411
VOGUE COLLEGE OF COSMETOLOGY 8,WACO,TX,76708
VOGUE COLLEGE OF COSMETOLOGY 7,MCALLEN,TX,78501
VOGUE COLLEGE OF COSMETOLOGY 5,SAN ANTONIO,TX,78221
International Renowned Beauty Academy,Fort Worth,TX,76103
VOGUE COLLEGE OF COSMETOLOGY 14,SAN ANTONIO,TX,78201
VOGUE COLLEGE OF COSMETOLOGY 1,CORPUS CHRISTI,TX,78412
Victoria College,Victoria,TX,77901
Victoria Beauty College Inc,Victoria,TX,77901-623
Vernon College,Vernon,TX,76384-409
VALLEY BAPTIST MEDICAL CENTER SCHOOL OF VOC NURS,HARLINGEN,TX,78550
Universal Technical Institute of Texas Inc,Houston,TX,77073
University of Houston-System Administration,Houston,TX,77204-201
Tyler Junior College,Tyler,TX,75789-000
TYLER COUNTY HOSPITAL SCHOOL OF NURSING,WOODVILLE,TX,75979
Texas Tech University Health Sciences Center,Lubbock,TX,79430-830
Texas State Technical College-West Texas,Sweetwater,TX,79556
Texas State Technical College-Harlingen,Harlingen,TX,78550-369
Texas State Technical College Harlingen,Harlingen,TX,78550-3697
Trinity University,San Antonio,TX,78212-720
Texas Woman's University,Denton,TX,76201
Texas Wesleyan University,Fort Worth,TX,76105-153
Texas Vocational Schools Inc,Victoria,TX,77901-562
Texas Tech University,Lubbock,TX,79409-500
The University of Texas System Office,Austin,TX,78701-298
Texas Southern University,Houston,TX,77004
THE MONTESSORI INSTITUTE,DENVER,CO,80204
Texas Lutheran University,Seguin,TX,78155-599
University of North Texas Health Science Center at Fort Worth,Forth Worth,TX,76107
University of North Texas Health Science Center,Forth Worth,TX,76107-2699
Texas College,Tyler,TX,75702
Texas Christian University,Fort Worth,TX,76129
Texas Chiropractic College Foundation Inc,Pasadena,TX,77505
TEXAS BARBER COLLEGE AND HAIRSTYLING SCHOOL 3,RICHARDSON,TX,75080
TEXAS BAPTIST INSTITUTE AND SEMINARY,HENDERSON,TX,75652
The Texas A & M University System Office,College Station,TX,77845-342
The Texas A&M University System Office,College Station,TX,77845-3424
Texas A & M University,College Station,TX,77843
Texas A & M University-College Station,College Station,TX,77843-1244
Texas A & M University at Galveston,Galveston,TX,77554
Texas A & M University-Galveston,Galveston,TX,77554
Texas A & M University-Kingsville,Kingsville,TX,78363
Texarkana College,Texarkana,TX,75599
Texas State Technical College-System,Waco,TX,76705
Temple College,Temple,TX,76504-743
Tarleton State University,Stephenville,TX,76402-000
Sul Ross State University,Alpine,TX,79832
Southwestern Christian College,Terrell,TX,75160-481
Southwestern Baptist Theological Seminary,Fort Worth,TX,76115
Southwestern Adventist University,Keene,TX,76059
Texas State University-San Marcos,San Marcos,TX,78666
Stephen F Austin State University,Nacogdoches,TX,75962
STENOGRAPH INSTITUTE OF TEXAS,ABILENE,TX,79601
SST TRAVEL SCHOOL,SAN ANTONIO,TX,78228
Southwestern University,Georgetown,TX,78626
Southwestern Assemblies of God University,Waxahachie,TX,75165
Southwest Texas Junior College,Uvalde,TX,78801-629
Southwest Institute of Technology,Austin,TX,78735
SOUTHWEST BIBLE INSTITUTE,SAN ANGELO,TX,76901
Southern Methodist University,Dallas,TX,75275-022
SOUTH TEXAS VO-TECH BROWNSVILLE,BROWNSVILLE,TX,78520
South Texas Vocational Technical Institute-McAllen,McAllen,TX,78501
South Texas Vo-Tech Institute,Weslaco,TX,78596
South Texas College of Law,Houston,TX,77002-700
South Texas Barber College Inc,Corpus Christi,TX,78415
South Plains College,Levelland,TX,79336
St Marys University,San Antonio,TX,78228-857
St. Mary's University,San Antonio,TX,78228-8572
SKILES UNIVERSITY OF HAIR DESIGN,FT WORTH,TX,76180
SHELTON-WHITE SCHOOL OF FLORAL DESIGN,MEMPHIS,TN,38104
Seguin Beauty School-Seguin,Seguin,TX,78155
Schreiner University,Kerrville,TX,78028-569
Sam Houston State University,Huntsville,TX,77341
Career Advancement and Applied Technology Training Division,San Antonio,TX,78223-479
University of St Thomas,Houston,TX,77006-469
Saint Edward's University,Austin,TX,78704
ROFFLER SCH OF HAIR DESIGN,AUSTIN,TX,78756
Richland College,Dallas,TX,75243-219
Rice University,Houston,TX,77005
Redstone Institute-Houston,Houston,TX,77061
Aviation Institute of Maintenance,Houston,TX,77061
Aviation Institute of Maintenance-Houston,Houston,TX,77061
Ranger College,Ranger,TX,76470
DELTA QUALA TRAINING INC,FT WORTH,TX,76106
PROFESSIONAL CAREER COLLEGE,RICHARDSON,TX,75080
Prairie View A & M University,Prairie View,TX,77446
Paul Quinn College,Dallas,TX,75241
Paris Junior College,Paris,TX,75460
Panola College,Carthage,TX,75633
PAGE PARKES CENTER OF MODELING AND ACTING,HOUSTON,TX,77098
Our Lady of the Lake University-San Antonio,San Antonio,TX,78207-468
Odessa College,Odessa,TX,79764
Ocean Corporation,Houston,TX,77099
Oblate School of Theology,San Antonio,TX,78216-669
Northeast Texas Community College,Mount Pleasant,TX,75455
University of North Texas,Denton,TX,76203-127
North Lake College,Irving,TX,75038-389
Neilson Beauty College,Dallas,TX,75208
Navarro College,Corsicana,TX,75110
International Beauty College,Irving,TX,75061-423
Tint School of Makeup and Cosmetology,Irving,TX,75061-4235
Tint School of Makeup and Cosmetology-Irving,Irving,TX,75061-4235
UNITED STATES NATIONAL TENNIS ACADEMY,Dallas,TX,75204-5881
Everest Institute-San Antonio,San Antonio,TX,78213
Mountain View College,Dallas,TX,75211-659
Southern Careers Institute-Austin,Austin,TX,78704
MODERN BARBER COLLEGE,HOUSTON,TX,77002
Wade College,Dallas,TX,75207
Mims Classic Beauty College,San Antonio,TX,78216-821
Midwestern State University,Wichita Falls,TX,76308-209
Midland College,Midland,TX,79705
Metroplex Beauty School,Mesquite,TX,75149-340
COVENANT HEALTH SYSTEMS SCHOOL OF RADIOLOGIC,LUBBOCK,TX,79410
Covenant School of Nursing and Allied Health,Lubbock,TX,79410-109
MEMORIAL HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,HOUSTON,TX,77074
MEMORIAL HERMANN MEMORIAL CITY HOSP SCH OF VOC NUR,HOUSTON,TX,77024-2434
McMurry University,Abilene,TX,79697
McLennan Community College,Waco,TX,76708
MAYO-HILL SCHOOL OF MODELING,HOUSTON,TX,77063-1620
MARY LYNNES BEAUTY SCHOOL,TEXARKANA,TX,75502
University of Mary Hardin-Baylor,Belton,TX,76513-259
College of the Mainland,Texas City,TX,77591-249
Lubbock Christian University,Lubbock,TX,79407-209
Lubbock Hair Academy,Lubbock,TX,79410
Lon Morris College,Jacksonville,TX,75766-080
LINDSEY-COOPER REFRIGERATION SCHOOL INCORPORATED,IRVING,TX,75060
Lincoln College of Technology-Grand Prairie,Grand Prairie,TX,75052
LeTourneau University,Longview,TX,75607-700
Lee College,Baytown,TX,77520
LATIN AMERICAN BIBLE INSITUTE,SAN ANTONIO,TX,78254
LARRYS BARBER AND HAIRSTYLING COLLEGE,DALLAS,TX,75232
Texas A & M International University,Laredo,TX,78041-190
Laredo Community College,Laredo,TX,78040-439
Laredo Beauty College Inc,Laredo,TX,78040
KINGS WAY MISSIONARY INSTITUTE,MCALLEN,TX,78501
VOGUE COLLEGE OF COSMETOLOGY 21,KILLEEN,TX,76541
Kilgore College,Kilgore,TX,75662-329
K D Studio,Dallas,TX,75207
KD College Conservatory of Film and Dramatic Arts,Dallas,TX,75207
Jarvis Christian College,Hawkins,TX,75765-147
Austin Business College,Austin,TX,78741
ITT Technical Institute-Houston West,Houston,TX,77063-3751
ITT Technical Institute-Arlington,Arlington,TX,76011
INTERNATIONAL TRAVEL INSTITUTE,HOUSTON,TX,77057
INTERNATIONAL BIBLE COLLEGE,SAN ANTONIO,TX,78228
INTERNATIONAL SCHOOL,SUNLAND PARK,NM,88063
University of the Incarnate Word,San Antonio,TX,78209
IMAGE MAKER SCHOOL OF HAIR DESIGN,FT WORTH,TX,76112
Huston-Tillotson University,Austin,TX,78702-279
JOE G DAVIS SCHOOL OF VOCATIONAL NURSING,HUNTSVILLE,TX,77340
Howard Payne University,Brownwood,TX,76801-279
University of Houston,Houston,TX,77204-201
University of Houston-Victoria,Victoria,TX,77901
HOUSTON SCHOOL OF FLORAL DESIGN,HOUSTON,TX,77063
HOUSTON MONTESSORI CENTER,HOUSTON,TX,77024-1330
University of Houston-Downtown,Houston,TX,77002-101
Houston Community College System,Houston,TX,77266-751
Houston Community College,Houston,TX,77266-7517
University of Houston-Clear Lake,Houston,TX,77058-109
Houston Baptist University,Houston,TX,77074-329
Hill College,Hillsboro,TX,76645
HENDRICK MEDICAL CENTER SCHOOL OF RADIOGRAPHY,ABILENE,TX,79601-2316
Trinity Valley Community College,Athens,TX,75751
Hardin-Simmons University,Abilene,TX,79698
Hallmark Institute of Technology,San Antonio,TX,78230-173
Hallmark College of Technology/Hallmark College of Aeronautics,San Antonio,TX,78230-1736
GREGG SCHOOL OF AUCTIONEERING,LOCKNEY,TX,79241
Grayson County College,Denison,TX,75020-829
GRAHAMS BARBER COLLEGE INC,DALLAS,TX,75215
Galveston College,Galveston,TX,77550-749
Franklin Beauty School,Houston,TX,77021-290
Frank Phillips College,Borger,TX,79008-511
Fort Worth Beauty School,Fort Worth,TX,76116
FLETCHER AVIATION GROUP,HOUSTON,TX,77061
Art Institute of Dallas,Dallas,TX,75231-599
The Art Institute of Dallas,Dallas,TX,75231-5993
South University-The Art Institute of Dallas,Dallas,TX,75231-5993
Exposito School of Hair Design Ltd,Amarillo,TX,79109-320
Exposito School of Hair Design,Amarillo,TX,79109-3208
ESS COLLEGE OF BUSINESS,DALLAS,TX,75206
ESPANOLAS BEAUTY COLLEGE INC,HOUSTON,TX,77020
Episcopal Theological Seminary of the Southwest,Austin,TX,78705
El Paso Community College,El Paso,TX,79915-190
El Centro College,Dallas,TX,75202-360
Eastfield College,Mesquite,TX,75150-209
Texas A & M University-Commerce,Commerce,TX,75429-301
Texas A & M University-Texarkana,Texarkana,TX,75505
East Texas Baptist University,Marshall,TX,75670-149
DIANES SCHOOL OF MODELING,AMARILLO,TX,79102
Del Mar College,Corpus Christi,TX,78404-389
University of Dallas,Irving,TX,75062-473
Dallas Theological Seminary,Dallas,TX,75204
Dallas Institute of Funeral Service,Dallas,TX,75227-431
Dallas County Community College District,Dallas,TX,75202
Dallas Christian College,Dallas,TX,75234-729
Dallas Baptist University,Dallas,TX,75211-929
CRISWELL COLLEGE,DALLAS,TX,75246
Court Reporting Institute-Wheeler Institute of Texas,Dallas,TX,75247
COTHRON AVIATION INC,ARLINGTON,TX,76018
Texas A & M University-Corpus Christi,Corpus Christi,TX,78412-550
North Central Texas College,Gainesville,TX,76240-469
PACE TRAVEL SCHOOL,AUSTIN,TX,78768-4903
Conlee's College of Cosmetology,Kerrville,TX,78028-445
Concordia University at Austin,Austin,TX,78705-279
Concordia University Texas,Austin,TX,78705-2799
Concordia University-Texas,Austin,TX,78726
CLERICAL ART SCHOOL,HOUSTON,TX,77057
Clarendon College,Clarendon,TX,79226
CITIZEN MEDICAL CENTER SCHOOL OF RADIOLOGICAL TECH,VICTORIA,TX,77901
Cisco Junior College,Cisco,TX,76437
Cisco College,Cisco,TX,76437
Institute of Cosmetology & Esthetics,Houston,TX,77036-212
CHRIST FOR THE NATIONS INSTITUTE,DALLAS,TX,75224
Charles and Sues School of Hair Design,Bryan,TX,77802
Central Texas College,Killeen,TX,76549-419
Cedar Valley College,Lancaster,TX,75134-379
Capitol City Careers,Austin,TX,78735
EURO HAIR SCHOOL,DALLAS,TX,75217
Brookhaven College,Farmers Branch,TX,75244-499
Brazosport College,Lake Jackson,TX,77566-319
BRAZOSPORT BEAUTY COLLEGE,FREEPORT,TX,77541
Bradford School of Business,Houston,TX,77027
Vet Tech Institute of Houston,Houston,TX,77027
Remington College-Dallas Campus,Garland,TX,75041
Blinn College,Brenham,TX,77833-409
Coastal Bend College,Beeville,TX,78102
Baylor University,Waco,TX,76798
Baylor College of Medicine,Houston,TX,77030-349
Texas A & M University System Health Science Center,College Station,TX,77840
Texas A&M Health Science Center,College Station,TX,77840
Baptist Missionary Association Theological Seminary,Jacksonville,TX,75766-540
Baptist Health System School of Health Professions,San Antonio,TX,78205-111
Baldwin Beauty School 5,Austin,TX,78704-478
Baldwin Beauty School-South Austin,Austin,TX,78704-4785
Austin Presbyterian Theological Seminary,Austin,TX,78705-579
Austin Community College,Austin,TX,78752
Austin Community College District,Austin,TX,78752
Austin College,Sherman,TX,75090-440
Art Institute of Houston,Houston,TX,77056-419
The Art Institute of Houston,Houston,TX,77056-4197
Arlington Career Institute,Grand Prairie,TX,75050
Arlington Baptist College,Arlington,TX,76012-342
Angelo State University,San Angelo,TX,76909
Angelina College,Lufkin,TX,75904
ANDERSON COUNTY BEAUTY COLLEGE,PALESTINE,TX,75801
ATI Technical Training Center,Dallas,TX,75235
UNIVERSITY OF CENTRAL TEXAS,KILLEEN,TX,765401416
AMERICAN INSPECTORS INSTITUTE,DALLAS,TX,75244
American Commercial College of Texas,Odessa,TX,79762
American Commercial College-Odessa,Odessa,TX,79762
American Commercial College-Abilene,Abilene,TX,79602
American Commercial College-Lubbock,Lubbock,TX,79411
American Commercial College-San Angelo,San Angelo,TX,76904
AMERICAN BEAUTY COLLEGE,SAN ANTONIO,TX,78218
Amberton University,Garland,TX,75041-559
Alvin Community College,Alvin,TX,77511-489
ALLEGRO TRAVEL SCHOOL,HOUSTON,TX,77027
AUSTIN INSTITUTE OF REAL ESTATE,AUSTIN,TX,78752
ACADEMY OF BARBERING,DALLAS,TX,75216
Abilene Christian University,Abilene,TX,79699
VOGUE COLLEGE OF COSMETOLOGY 29,DEL RIO,TX,78840
William Moore College of Technology,Memphis,TN,38104-724
West Tennessee Business College,Jackson,TN,38301
Walters State Community College,Morristown,TN,37813-689
Volunteer State Community College,Gallatin,TN,37066-318
Vanderbilt University,Nashville,TN,37240
New Concepts School of Cosmetology,Cleveland,TN,37311
Union University,Jackson,TN,38305-369
Tusculum College,Greeneville,TN,37743
TULLAHOMA BEAUTY SCHOOL,TULLAHOMA,TN,37388
TRI-CITY BEAUTY COLLEGE,JOHNSON CITY,TN,37601
Northeast State Technical Community College,Blountville,TN,37617-024
Northeast State Community College,Blountville,TN,37617-0246
Trevecca Nazarene University,Nashville,TN,37210
Tennessee Technological University,Cookeville,TN,38505-000
Tennessee State University,Nashville,TN,37209-156
Tennessee School of Beauty of Knoxville Inc,Knoxville,TN,37921
Fountainhead College of Technology,Knoxville,TN,37918
TENNESSEE BIBLE COLLEGE,COOKEVILLE,TN,38503-0865
Tennessee Wesleyan College,Athens,TN,37303
Southern College of Optometry,Memphis,TN,38104-221
Southern Adventist University,Collegedale,TN,37315-037
SOUTHWEST TENNESSEE COMMUNITY COLLEGE-MACON CAMPUS,MEMPHIS,TN,381347693
Pellissippi State Technical Community College,Knoxville,TN,37933-099
Pellissippi State Community College,Knoxville,TN,37933-0990
Tennessee Technology Center at Whiteville,Whiteville,TN,38075-048
Tennessee Technology Center at Knoxville,Knoxville,TN,37919
Tennessee Technology Center at Jackson,Jackson,TN,38301
Tennessee Technology Center at McMinnville,McMinnville,TN,37110
Tennessee Technology Center at Crossville,Crossville,TN,38555
Tennessee Technology Center at Oneida-Huntsville,Huntsville,TN,37756-414
ST JOSEPH HOSPITAL SCHOOL OF NURSING,MEMPHIS,TN,38104
Sewanee:  The University of the South,Sewanee,TN,37383-100
Sewanee-The University of the South,Sewanee,TN,37383-1000
Tennessee Technology Center at Shelbyville,Shelbyville,TN,37160
Southwest Tennessee Community College,Memphis,TN,38134-769
Tennessee Technology Center at Crump,Crump,TN,38327
Roane State Community College,Harriman,TN,37748
Tennessee Technology Center at Ripley,Ripley,TN,38063
Rhodes College,Memphis,TN,38112-169
Tennessee Technology Center at Pulaski,Pulaski,TN,38478-061
Plaza Beauty School,Memphis,TN,38117-482
Tennessee Technology Center at Paris,Paris,TN,38242
O'More College of Design,Franklin,TN,37064
NORTH TENNESSEE BIBLE INSTITUTE,CLARKSVILLE,TN,37043
Tennessee Technology Center at Newbern,Newbern,TN,38059
NESTLE BEAUTY SCHOOL,PARIS,TN,38242
NASHVILLE SCHOOL OF LAW,NASHVILLE,TN,37204
Nashville State Technical Community College,Nashville,TN,37209-451
Nashville State Community College,Nashville,TN,37209-4515
METRO NASHVILLE GENERAL HOSPITAL SCHOOL RAD TECHN,NASHVILLE,TN,37208
NASHVILLE MEMORIAL HOSPITAL SCHOOL OF PRAC NURSING,MADISON,TN,371154474
Nashville College of Medical Careers,Madison,TN,37115
Nashville Auto Diesel College Inc,Nashville,TN,37206
Nashville Auto Diesel College,Nashville,TN,37206
NASHVILLE AUCTION SCHOOL,COLUMBIA,TN,384071764
Tennessee Technology Center at Murfreesboro,Murfreesboro,TN,37129-331
Motlow State Community College,Tullahoma,TN,37388
MORRISTOWN SCHOOL OF BUSINESS,MORRISTOWN,TN,37814
Tennessee Technology Center at Morristown,Morristown,TN,37813-209
Milligan College,Milligan College,TN,37682
Middle Tennessee School of Anesthesia Inc,Madison,TN,37116-641
Middle Tennessee State University,Murfreesboro,TN,37132
MIDDLE TENNESSEE BARBER AND STYLING COLLEGE,MURFREESBORO,TN,37130
Crichton College,Memphis,TN,38111-137
Victory University,Memphis,TN,38111-1375
MID STATE BARBER STYLING COLLEGE INC,NASHVILLE,TN,37208
Methodist Hospital School of Nursing,Memphis,TN,38104
METHODIST HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY,MEMPHIS,TN,38104
Memphis Theological Seminary,Memphis,TN,38104-439
University of Memphis,Memphis,TN,38152
Tennessee Technology Center at Memphis,Memphis,TN,38105-360
MEMPHIS SCHOOL OF PREACHING,MEMPHIS,TN,38125-2560
Memphis College of Art,Memphis,TN,38104-276
Meharry Medical College,NASHVILLE,TN,37208
Middle Tennessee School of Cosmetology,Cookeville,TN,38501-190
Genesis Career College of Cookeville,Cookeville,TN,38501-1907
Genesis Career College,Cookeville,TN,38501-1907
Tennessee Technology Center at McKenzie,McKenzie,TN,38201
Maryville College,Maryville,TN,37804-590
Martin Methodist College,Pulaski,TN,38478-279
MADISON UNIVERSITY OF BEAUTY,MADISON,TN,37115
LYLES SCHOOL OF HAIR DESIGN,NASHVILLE,TN,37211
Tennessee Technology Center at Livingston,Livingston,TN,38570
Lincoln Memorial University,Harrogate,TN,37752-990
Lee University,Cleveland,TN,37320-373
Le Moyne-Owen College,Memphis,TN,38126
Lane College,Jackson,TN,38301-459
Lambuth University,Jackson,TN,38301
KNOXVILLE INSTITUTE OF HAIR DESIGN,KNOXVILLE,TN,37917
South College,Knoxville,TN,37922-000
King College,Bristol,TN,37620-269
Jon Nave University of Unisex Cosmetology,Nashville,TN,37209-334
Paul Mitchell the School-Nashville,Antioch,TN,37013
Johnson Bible College,Knoxville,TN,37998
Johnson University,Knoxville,TN,37998
John A Gupton College,Nashville,TN,37203
JETT COLLEGE OF COSMETOLOGY,MEMPHIS,TN,38103
JETT COLLEGE OF BARBERNG,MEMPHIS,TN,38127
Jackson State Community College,Jackson,TN,38301-379
Tennessee Technology Center at Jacksboro,Jacksboro,TN,37757
Tennessee Technology Center at Hohenwald,Hohenwald,TN,38462-220
Hiwassee College,Madisonville,TN,37354-400
HIGHLAND STYLING ACADEMY,CHATTANOOGA,TN,37415
Tennessee Technology Center at Hartsville,Hartsville,TN,37074-202
Tennessee Technology Center at Harriman,Harriman,TN,37748-584
HAMBLEN SCHOOL OF BEAUTY,MORRISTOWN,TN,37814
GRAHAM BIBLE COLLEGE,BRISTOL,VA,24203
Freed-Hardeman University,Henderson,TN,38340-239
Free Will Baptist Bible College,Nashville,TN,37205-011
Fisk University,Nashville,TN,37208-450
Fayetteville Beauty School,Fayetteville,TN,37334-013
Fayetteville College of Cosmetology Arts and Sciences,Fayetteville,TN,37334-0135
Emmanuel School of Religion,Johnson City,TN,37601-998
Emmanuel Christian Seminary,Johnson City,TN,37601-9989
Tennessee Technology Center at Elizabethton,Elizabethton,TN,37643
Electronic Computer Programming College Inc,Chattanooga,TN,37411
Chattanooga College Medical Dental and Technical Careers,Chattanooga,TN,37411-3742
East Tennessee State University,Johnson City,TN,37614-000
EAST TENNESSEE SCHOOL OF PREACHING AND MISSIONS,KNOXVILLE,TN,37931-3411
Dyersburg State Community College,Dyersburg,TN,38024-241
Tennessee Technology Center at Dickson,Dickson,TN,37055
Lipscomb University,Nashville,TN,37204-395
Cumberland University,Lebanon,TN,37087
Tennessee Technology Center at Covington,Covington,TN,38019
Concorde Career College,Memphis,TN,38137-013
Concorde Career College-Memphis,Memphis,TN,38137-0132
Columbia State Community College,Columbia,TN,38401
Cleveland State Community College,Cleveland,TN,37320-357
AUSTINS BEAUTY COLLEGE,CLARKSVILLE,TN,37040
Church of God Theological Seminary,Cleveland,TN,37320-333
Pentecostal Theological Seminary,Cleveland,TN,37320-3330
Christian Brothers University,Memphis,TN,38104
Chattanooga State Technical Community College,Chattanooga,TN,37406-000
Chattanooga State Community College,Chattanooga,TN,37406-1097
