instname,city,state,zip
Carolina Bible College,Fayetteville,NC,28303-5157
National Paralegal College,Phoenix,AZ,85014-1262
American Institute,Celebration,FL,34747-5161
The Salon Professional Academy,St. Charles,MO,63301-1021
Ogle School Hair Skin Nails-North Dallas,Dallas,TX,75248-1216
Beauty Academy of South Florida,Hialeah,FL,33012-3221
Body Therapy Institute,Siler City,NC,27344-6728
Northwest Institute of Literary Arts,Freeland,WA,98249-0000
Skin Institute,Saint Louis,MO,63126
Virginia College-Richmond,Richmond,VA,23225-5502
Penrose Academy,Scottsdale,AZ,85254-4065
Stevens Henager College,Boise,ID,83709-6733
Chamberlain College of Nursing-Virginia,Arlington,VA,22202-3843
Aveda Institute Portland,Portland,OR,97209-3144
Virginia College-Spartanburg,Spartanburg,SC,29301-2450
Virginia College-Macon,Macon,GA,31206-3180
Miller-Motte College,Jacksonville,NC,28540-5901
College of Massage Therapy,Blackfoot,ID,83221-1758
Remington College,Heathrow,FL,33612-5627
Virginia College-Baton Rouge,Baton Rouge,LA,70815-8604
Carolina College of Hair Design,Asheville,NC,28805-1232
Hawaii Medical Institute,Honolulu,HI,96814-3518
Tribeca Flashpoint Media Arts Academy,Chicago,IL,60602-2716
American Sentinel University,Aurora,CO,80014-6510
Allied American University,Laguna Hills,CA,92653-1337
Paul Mitchell the School-Murfreesboro,Murfreesboro,TN,37129
Artistic Nails and Beauty Academy,Lakeland,FL,33801
Ridley-Lowell Business and Technical Institute,Danbury,CT,6810
Anthem College-Atlanta,Atlanta,GA,30324
Cortiva Institute-New Jersey,Wall,NJ,7719
Hollywood Institute of Beauty Careers-Miami Beach,Miami Beach,FL,33141
Hollywood Institute of Beauty Careers,Miami Beach,FL,33141
Heisei International Institute of Massage,Honolulu,HI,96814
Brown Mackie College-San Antonio,San Antonio,TX,78229
Stratford School of Aviation Maintenance Technicians,Stratford,CT,6615
Park Avenue School of Cosmetology,Park Rapids,MN,56470-1551
Finger Lakes School of Massage,Mt. Kisco,NY,10549
"Universal Technical Institute of Northern Texas, LLC",Irving,TX,75063
Milan Institute of Cosmetology-El Paso,El Paso,TX,79925
Milan Institute-Nampa,Nampa,ID,83651
Milan Institute of Cosmetology-La Quinta,La Quinta,CA,92553
Daymar College-Louisville,Louisville,KY,40245
Onondaga School of Therapeutic Massage-Rochester,Rochester,NY,14607
Christian Bible Institue,Miami,FL,33101
Concordia Lutheran School Of Theology,Miami,FL,33101
Christian United Seminary,Miami,FL,33101
Christian Reformed Seminary,Miami,FL,33010
Lewistown Hospital School of Nursing,Lewistown,PA,17044
Virginia International University,Fairfax,VA,22030
Everest College-Santa Ana,Santa Ana,CA,92701
Everest College-Fort Worth South,Ft Worth,TX,76115
ATI Career Training Center-Lewisville,Lewisville,TX,75067
Ecotech Institute,Aurora,CO,80014
Concorde Career Institute-San Antonio,San Antonio,TX,78229
Concorde Career Institute-Orlando,Orlando,FL,32803
Concorde Career Institute-Dallas,Dallas,TX,75243
South Texas Vocational Technical Institute-San Antonio,San Antonio,TX,78216
