player,team,conference
Adrian Killins Jr.,UCF,American Athletic
Joey Connors,UCF,American Athletic
Nelson Adams,Mississippi State,SEC
Brandon Harris,LSU,SEC
Shannon Brooks,Minnesota,Big Ten
Darrell Fuery,Fresno State,Mountain West
Darrell Stewart Jr.,Michigan State,Big Ten
Ben Humphreys,Duke,ACC
Stephen Forester,UTEP,Conference USA
Derrick Gore,Alabama,SEC
Artavis Scott,Clemson,ACC
Tim White,Arizona State,Pac-12
Justice Hill,Oklahoma State,Big 12
Austin Silsby,Boise State,Mountain West
Trent Cowan,Idaho,Sun Belt
Tyris Wooten,Navy,American Athletic
Aaron Hepp,Ball State,Mid-American
Gus Edwards,Miami,ACC
Jalen Ortiz,Wyoming,Mountain West
LaDarius Harris,Southern Mississippi,Conference USA
Brandon Russell,Rutgers,Big Ten
Kendall Ardoin,Tulane,American Athletic
Keith Brown,Western Kentucky,Conference USA
Chad Kelly,Ole Miss,SEC
Nate Iese,UCLA,Pac-12
Joe Hubener,Kansas State,Big 12
D.J. Brown,Northern Illinois,Mid-American
Josh Augusta,Missouri,SEC
Kenneth Walker,UCLA,Pac-12
Tyrone Riley,NC State,ACC
Riley Ferguson,Memphis,American Athletic
Gus Ragland,Miami (OH),Mid-American
D'Andre Payne,Iowa State,Big 12
Rob Bain,Illinois,Big Ten
Jamarl Eiland,Buffalo,Mid-American
Tario Fuller,Purdue,Big Ten
Jaylen Samuels,NC State,ACC
Elliot Blankenship,Louisiana Tech,Conference USA
Devin Abraham,South Florida,American Athletic
D'Cota Dixon,Wisconsin,Big Ten
Alonzo Saxton II,Duke,ACC
Rodrick Stephens,Louisiana,Sun Belt
Dalton Sturm,UT San Antonio,Conference USA
Montrell Custis,Ole Miss,SEC
Darrell Taylor,Tennessee,SEC
Brandon Reilly,Nebraska,Big Ten
Evan Weaver,California,Pac-12
David Hood,Temple,American Athletic
Garrett Juergens,BYU,FBS Independents
Eli Wolf,Tennessee,SEC
Michael Farkas,Ohio,Mid-American
Sam Harms,Iowa State,Big 12
Gregory Hogan,New Mexico State,Sun Belt
Maurice Trowell,NC State,ACC
Rob Thompson,Old Dominion,Conference USA
Gregory Phillips,Purdue,Big Ten
Nathan Peterman,Pittsburgh,ACC
Trevor Kanteman,UNLV,Mountain West
Zach Swarts,Miami (OH),Mid-American
Juwuan Briscoe,Georgia,SEC
Ty Tyler,Marshall,Conference USA
Younghoe Koo,Georgia Southern,Sun Belt
Armanti Foreman,Texas,Big 12
Joe Martarano,Boise State,Mountain West
Steven Moore,California,Pac-12
Colton Cardinal,Boston College,ACC
Tavares Martin Jr.,Washington State,Pac-12
D'Eriq King,Houston,American Athletic
Randy Ramsey,Arkansas,SEC
Nathan Bazata,Iowa,Big Ten
Parker Hesse,Iowa,Big Ten
Dexter Wright,NC State,ACC
Richard Burney,Virginia,ACC
Koby Quansah,Duke,ACC
Anfernee Jennings,Alabama,SEC
Tyler Campbell,Army,FBS Independents
Gus Schwieterman,Bowling Green,Mid-American
Cade Carney,Wake Forest,ACC
Billy McCrary III,California,Pac-12
Austin Robinson,Houston,American Athletic
D'Nerius Antoine,Southern Mississippi,Conference USA
- Team,Ole Miss,SEC
Tyler Hilinski,Washington State,Pac-12
Brendon Hayes,UCF,American Athletic
Yazeed Atariwa,Toledo,Mid-American
Sam Browning,Eastern Michigan,Mid-American
Stephen Griffin,Tennessee,SEC
Chris Melton,Middle Tennessee,Conference USA
DeShawn Potts,Fresno State,Mountain West
Jonnu Smith,Florida International,Conference USA
D'Nerius Antoine,Southern Mississippi,Conference USA
Vince Thomas,Louisiana,Sun Belt
Ty Johnson,Maryland,Big Ten
Cleon Aloese,Ohio,Mid-American
Isaiah Harris,Kansas State,Big 12
Sidney Jones,Washington,Pac-12
Ryan Finley,NC State,ACC
Rob Thompson,Old Dominion,Conference USA
Bakhari Goodson,UMass,FBS Independents
Dimetrios Mason,Missouri,SEC
Jace Whittaker,Arizona,Pac-12
Kalakaua Timoteo,Hawai'i,Mountain West
Austin Duke,Charlotte,Conference USA
Gregory Howell Jr.,Florida Atlantic,Conference USA
Eddie Daugherty,Eastern Michigan,Mid-American
Justin McInnis,Arkansas State,Sun Belt
" Team",Nevada,Mountain West
Kyle Bambard,NC State,ACC
Jack Swinney,Clemson,ACC
Shane Roy,Pittsburgh,ACC
Robert Davis,Georgia State,Sun Belt
Vanel Dossous,Bowling Green,Mid-American
Andrew Gantz,Cincinnati,American Athletic
Darius Slayton,Auburn,SEC
Ray Lawry,Old Dominion,Conference USA
Nate L. L Smith,Temple,American Athletic
Grant Perry,Michigan,Big Ten
Brandon Lee,Missouri,SEC
Evan Panfil,Purdue,Big Ten
Alex Boy,Nevada,Mountain West
Mazzi Wilkins,South Florida,American Athletic
Eric Wiafe,Rutgers,Big Ten
Chad Moore,Ohio,Mid-American
Brandon Addison,Old Dominion,Conference USA
Arthur Jones,Indiana,Big Ten
Patrick Worstell,California,Pac-12
Sharrieff Grice,Boston College,ACC
Mason Tobeck,Utah State,Mountain West
Makana Fraser,UTEP,Conference USA
Brandon Fritts,North Carolina,ACC
Winston Lee,Syracuse,ACC
Randy Stites,Ohio,Mid-American
Emmanuel Lubin,Florida International,Conference USA
Josh Anderson,Troy,Sun Belt
Nick Rallis,Minnesota,Big Ten
Garrett Anderson,Connecticut,American Athletic
Jared Wangler,Michigan,Big Ten
Vontarius West,Florida International,Conference USA
Darian Green,Ball State,Mid-American
Rayshad Lewis,Utah State,Mountain West
Tion Green,Cincinnati,American Athletic
Dominique Heath,Kansas State,Big 12
Jalen Brown,Oregon,Pac-12
" Team",West Virginia,Big 12
Jason Driskel,Florida Atlantic,Conference USA
David Yancey,Purdue,Big Ten
Jay Warren,Florida Atlantic,Conference USA
Taj McGowan,UCF,American Athletic
Devon Edwards,Pittsburgh,ACC
Keenan Barnes,Louisiana,Sun Belt
Maurice Smitherman,Mississippi State,SEC
Dionte Mullins,Miami,ACC
Corey Davis,Western Michigan,Mid-American
Eri'Reon Hayes,Old Dominion,Conference USA
DaShawn Benton,East Carolina,American Athletic
Paul Lucas,Oregon State,Pac-12
Mikee Hayes,Akron,Mid-American
Deondre Francois,Florida State,ACC
D.J. Johnson,Air Force,Mountain West
Alex Gray,Appalachian State,Sun Belt
Auden Tate,Florida State,ACC
Jarrell Owens,Oklahoma State,Big 12
Chase Middleton,Georgia State,Sun Belt
Marquez Callaway,Tennessee,SEC
Willie Johnson,Marshall,Conference USA
Stantley Thomas-Oliver III,Florida International,Conference USA
Davon Jones,Boston College,ACC
Devin Glenn,Tulane,American Athletic
Aneas Henricks,UT San Antonio,Conference USA
Nick Patti,UCF,American Athletic
Rasheed Tynes,Houston,American Athletic
Evan Baylis,Oregon,Pac-12
Jela Duncan,Duke,ACC
Sam Mays,Illinois,Big Ten
Nick Fisher,Colorado,Pac-12
Marcus Milton,Bowling Green,Mid-American
Billy McCrary III,California,Pac-12
Rory Coleman,UCF,American Athletic
Jacob Fleming,Southern Mississippi,Conference USA
Devon Breaux,Tulane,American Athletic
Denzell Evans,Kansas,Big 12
Dwayne Williams,Oregon State,Pac-12
Jordan Cronkrite,Florida,SEC
Larry Stephens,UT San Antonio,Conference USA
Michael Julian,Toledo,Mid-American
Alfonso Randolph,Florida International,Conference USA
Jasper Sasser,South Carolina,SEC
Caleb Day,Illinois,Big Ten
" Team",Auburn,SEC
Andrew Nelson,Penn State,Big Ten
Eric Smith,Virginia,ACC
JK Scott,Alabama,SEC
Oshane Ximines,Old Dominion,Conference USA
Tyrian Taylor,New Mexico State,Sun Belt
Zarrian Holcombe,Illinois,Big Ten
Rashad Still,Minnesota,Big Ten
Bradrick Shaw,Wisconsin,Big Ten
Jamal Morrow,Washington State,Pac-12
Seth Russell,Baylor,Big 12
Matt Linehan,Idaho,Sun Belt
" Team",Texas,Big 12
Joseph Bacchus,Arkansas State,Sun Belt
Mark Amann,San José State,Mountain West
Jhajuan Seales,Oklahoma State,Big 12
Donavan Hale,Indiana,Big Ten
Chase Harrell,Kansas,Big 12
Mitchell Ludwig,Virginia Tech,ACC
Darius Copeland,Akron,Mid-American
Marchie Murdock,Iowa State,Big 12
" Team",USC,Pac-12
Derek McLemore,Houston,American Athletic
Jaboree Williams,Wake Forest,ACC
Shelton Gibson,West Virginia,Big 12
Ty Schwab,Boston College,ACC
Tyler Byrd,Tennessee,SEC
Johnny Jones,UTEP,Conference USA
Samuel Stewart,Rice,Conference USA
Mike Edwards,Kentucky,SEC
Josh Atkinson,Tulsa,American Athletic
William Davis,Florida Atlantic,Conference USA
Daryl Chestnut,New Mexico,Mountain West
Drew Wolitarsky,Minnesota,Big Ten
Austin Taylor,Florida International,Conference USA
Brandon Snyder,Iowa,Big Ten
Xavier Thigpen,Southern Mississippi,Conference USA
Mitch Leidner,Minnesota,Big Ten
Will Barrow,Tulsa,American Athletic
JoJo Domann,Nebraska,Big Ten
Jeremy Cox,Old Dominion,Conference USA
Marcus McShepard,Northwestern,Big Ten
Corey Jones,Toledo,Mid-American
Dede Westbrook,Oklahoma,Big 12
Courtney Miggins,Kentucky,SEC
Donte Vaughn,Notre Dame,FBS Independents
Wade Lees,Maryland,Big Ten
Amir Watts,Pittsburgh,ACC
Michael Barden,Texas Tech,Big 12
Trey Spencer,Louisiana Tech,Conference USA
Trey Adams,Washington,Pac-12
Drew Bishop,Memphis,American Athletic
Armanti Foreman,Texas,Big 12
Adrian Killins Jr.,UCF,American Athletic
Brenden Schooler,Oregon,Pac-12
Terrell Williams,Houston,American Athletic
Kendall Futrell,East Carolina,American Athletic
Josh Sessoms,NC State,ACC
Amari Henderson,Wake Forest,ACC
Jordan Chunn,Troy,Sun Belt
Sam Franklin,Temple,American Athletic
Ryker Fyfe,Nebraska,Big Ten
Eddy Wilson,Purdue,Big Ten
Devan Demas,Boise State,Mountain West
Kalen Hicks,Hawai'i,Mountain West
Kirby Wixson,Louisiana Tech,Conference USA
Ernest Suttles,Memphis,American Athletic
Joe Keels,Buffalo,Mid-American
Ben Humphreys,Duke,ACC
Lee Moses,UMass,FBS Independents
Madre London,Michigan State,Big Ten
Ja'Whaun Bentley,Purdue,Big Ten
Zach Guiser,Akron,Mid-American
Henry McGrew,Illinois,Big Ten
Alijah Lee,Washington State,Pac-12
Tre Hornbuckle,Duke,ACC
Wunmi Oyetuga,Army,FBS Independents
Jay Bowdry,Georgia Southern,Sun Belt
Chris Hawkins,USC,Pac-12
Keith Corbin,Houston,American Athletic
Jeremiah Taleni,Pittsburgh,ACC
Devin Cockrell,UTEP,Conference USA
Jalen Smith,Fresno State,Mountain West
Christian Poe,Army,FBS Independents
Eric Laurent,Missouri,SEC
" Team",Western Kentucky,Conference USA
Corey Xavier Sutton,Kansas State,Big 12
Justin Rankin,Kent State,Mid-American
Mark Chapman,Central Michigan,Mid-American
Alvin Davis,Akron,Mid-American
Amani Oruwariye,Penn State,Big Ten
Shelton Gibson,West Virginia,Big 12
Matt Breida,Georgia Southern,Sun Belt
Amani Jones,Iowa,Big Ten
Mark Johnson,Arkansas State,Sun Belt
Landis Durham,Texas A&M,SEC
Bradley Chubb,NC State,ACC
Trayveon Williams,Texas A&M,SEC
Ryan Williamson,Buffalo,Mid-American
George Frazier,Colorado,Pac-12
Davison Colimon,Florida International,Conference USA
Justin Layne,Michigan State,Big Ten
Willie Johnson,Marshall,Conference USA
Jerod Boykins,UCF,American Athletic
Gregory Howell Jr.,Florida Atlantic,Conference USA
Brant Mitchell,Georgia Tech,ACC
Warren Wand,Arkansas State,Sun Belt
Hunter Niswander,Northwestern,Big Ten
Alex Gray,Appalachian State,Sun Belt
Donovan Williams,Connecticut,American Athletic
Tyrian Taylor,New Mexico State,Sun Belt
Sean Folliard,Northern Illinois,Mid-American
Roderick Jones Jr.,UMass,FBS Independents
T.J. Vasher,Texas Tech,Big 12
Waylon Roberson,Arkansas State,Sun Belt
Gabe Schrade,Texas State,Sun Belt
Jack Wegher,Purdue,Big Ten
Chris Williamson,Florida,SEC
Kedarian Jones,Memphis,American Athletic
Curtis Michael Williams,Virginia Tech,ACC
Kenny Hill,TCU,Big 12
J'Vonte Herrod,Middle Tennessee,Conference USA
Kyle DeWeen,Buffalo,Mid-American
Shaquill Griffin,UCF,American Athletic
Eddie Jackson,Alabama,SEC
Eric Laurent,Missouri,SEC
Jameson Vest,Toledo,Mid-American
Mitchell Wilcox,South Florida,American Athletic
Tony Reid,Miami (OH),Mid-American
Mikell Lands-Davis,Georgia Tech,ACC
Roderick Young,North Texas,Conference USA
Wes Brown,Maryland,Big Ten
Sam Darnold,USC,Pac-12
Drew Barker,Kentucky,SEC
Coney Durr,Minnesota,Big Ten
King Newton,UT San Antonio,Conference USA
Joey Slye,Virginia Tech,ACC
Mark Quattlebaum,Charlotte,Conference USA
Tre Watson,California,Pac-12
Marquis Young,UMass,FBS Independents
Daniel Brunskill,San Diego State,Mountain West
Metuisela 'Unga,Hawai'i,Mountain West
Alex Ross,Missouri,SEC
Ron Coluzzi,Iowa,Big Ten
Obi Melifonwu,Connecticut,American Athletic
Mike Kelly,Navy,American Athletic
Meiko Dotson,Georgia Tech,ACC
Chanse Sylvie,Oklahoma,Big 12
Darius Irvin,Charlotte,Conference USA
Sharrieff Shah Jr.,Utah,Pac-12
Willie Harvey,Iowa State,Big 12
Chris DeLaRosa,Georgia Southern,Sun Belt
Lucky Jackson,Western Kentucky,Conference USA
Zander Diamont,Indiana,Big Ten
Nigel Lawrence,South Alabama,Sun Belt
Joe Martarano,Boise State,Mountain West
Christian Tago,San José State,Mountain West
Grant Niemiec,Miami (OH),Mid-American
Joe Tillman,Old Dominion,Conference USA
Darius Roper,Georgia Southern,Sun Belt
Travon Blanchard,Baylor,Big 12
Freddie Swain,Florida,SEC
Ethan Wood,Wyoming,Mountain West
Durham Smythe,Notre Dame,FBS Independents
Tommy Sweeney,Boston College,ACC
Joe Mixon,Oklahoma,Big 12
Nahshon Ellerbe,Rice,Conference USA
" Team",Georgia,SEC
Matthew Sommers,Kent State,Mid-American
Lavon Coleman,Washington,Pac-12
Nick Coleman,Notre Dame,FBS Independents
Andrew King,Army,FBS Independents
Jalen Nixon,Louisiana,Sun Belt
Jon Hilliman,Boston College,ACC
L'Jarius Sneed,Louisiana Tech,Conference USA
Taylor Polk,Troy,Sun Belt
Daniel Awoleke,South Florida,American Athletic
Julian Rochester,Georgia,SEC
Johnny Mundt,Oregon,Pac-12
Ben DeLuca,Charlotte,Conference USA
Kaare Vedvik,Marshall,Conference USA
Rod Stoddard II,Army,FBS Independents
Jack Fox,Rice,Conference USA
Josiah Hall,Wyoming,Mountain West
Quinn Shanbour,North Texas,Conference USA
Baker Mayfield,Oklahoma,Big 12
Kenneth Goins Jr.,Maryland,Big Ten
Jabir Daughtry-Frye,Troy,Sun Belt
Jamari Bozeman,Bowling Green,Mid-American
Fermin Silva,Florida International,Conference USA
Logan Klusman,Kansas,Big 12
Jeremiah Pritchard,Hawai'i,Mountain West
Stanley Williams,Kentucky,SEC
Marshawn Williams,Virginia Tech,ACC
Justin Davis,USC,Pac-12
Darius Wade,Boston College,ACC
David Hood,Temple,American Athletic
Tim Cook,Oregon State,Pac-12
John Franklin III,Auburn,SEC
Chase Day,Louisiana Monroe,Sun Belt
Cooper Rothe,Wyoming,Mountain West
Cam Phillips,Virginia Tech,ACC
Kenny Young,Miami (OH),Mid-American
Brian Peavy,Iowa State,Big 12
Michael Barton,Arizona,Pac-12
" Team",Notre Dame,FBS Independents
Austin Proehl,North Carolina,ACC
Joey Burkett,Missouri,SEC
Caleb Bailey,Western Michigan,Mid-American
J'Mon Moore,Missouri,SEC
Ronnie Feist,UT San Antonio,Conference USA
Bailey Gaither,San José State,Mountain West
Lamar Jackson,Louisville,ACC
Greer Martini,Notre Dame,FBS Independents
Kevin Willis,Ball State,Mid-American
David Reese,Florida,SEC
Ian Shannon,Auburn,SEC
Marcus Rios,UCLA,Pac-12
Rashad Fenton,South Carolina,SEC
Michael Francis Wroblewski,Michigan,Big Ten
Michael Egwuagu,UT San Antonio,Conference USA
Chris Carson,Oklahoma State,Big 12
Alex Neering,Central Michigan,Mid-American
Kelby Latta,Central Michigan,Mid-American
Nevelle Clarke,UCF,American Athletic
Mason Rudolph,Oklahoma State,Big 12
Kalani Vakameilalo,Oregon State,Pac-12
Khari Blasingame,Vanderbilt,SEC
Tom Sheldon,North Carolina,ACC
Kelan Chairs,Mississippi State,SEC
Hakeem Butler,Iowa State,Big 12
Larenz Bryant,South Carolina,SEC
Josh Cox,Central Michigan,Mid-American
Brandon Fritts,North Carolina,ACC
Cameron Echols-Luper,Arkansas State,Sun Belt
Barry Sanders,Oklahoma State,Big 12
Clayton Hatfield,Texas Tech,Big 12
Kevin Davis,Colorado State,Mountain West
" Team",Texas,Big 12
Kelvin Smith,North Texas,Conference USA
Reid Harrison-Ducros,Boise State,Mountain West
Khalil Oliver,Oregon,Pac-12
Dorian Brown,Ohio,Mid-American
Josh Walker Smith,Tennessee,SEC
Michael Barden,Texas Tech,Big 12
Anthony Mariscal,Arizona,Pac-12
Kerrith Whyte Jr.,Florida Atlantic,Conference USA
Ike Spearman,Eastern Michigan,Mid-American
Kristian Welch,Iowa,Big Ten
Kevin Strong Jr.,UT San Antonio,Conference USA
Trent Goens,Northwestern,Big Ten
Kyle Shortridge,Louisville,ACC
P.J. Rosowski,Wisconsin,Big Ten
Adam Taylor,Nebraska,Big Ten
Connor Lancia,Toledo,Mid-American
Matt Boermeester,USC,Pac-12
Quest Truxton,San Diego State,Mountain West
Frank Ginda,San José State,Mountain West
Lorenzo Harrison III,Maryland,Big Ten
Woody Baron,Virginia Tech,ACC
K.J. Osborn,Buffalo,Mid-American
Isaiah Wharton,Rutgers,Big Ten
Jordan Reid,Ohio,Mid-American
Taquan Mizzell,Virginia,ACC
Michael Davis,BYU,FBS Independents
Myles Hartsfield,Ole Miss,SEC
Tyler Durbin,Ohio State,Big Ten
Mack Wilson,Alabama,SEC
Emanuel Porter,TCU,Big 12
Brandon Singleton,California,Pac-12
Maurice Smitherman,Mississippi State,SEC
Tajee Fullwood,South Florida,American Athletic
Dee Fleming,Louisiana Tech,Conference USA
Frankie Hernandez,Marshall,Conference USA
Antonio Jones-Davis,Northern Illinois,Mid-American
C.J. Hampton,Ole Miss,SEC
Jeremy McDuffie,Duke,ACC
Marquez White,Florida State,ACC
James Nachtigal,Army,FBS Independents
Carson Epps,Iowa State,Big 12
Daniel Brown,Nevada,Mountain West
Tyrell Chavis,Penn State,Big Ten
Eric Thomas,Tulane,American Athletic
Drew Morgan,Arkansas,SEC
DeAngelo Brown,Louisville,ACC
Qwuantrezz Knight,Maryland,Big Ten
D'Wayne Eskridge,Western Michigan,Mid-American
Justin Martin,Tennessee,SEC
C.J. Beathard,Iowa,Big Ten
Joshua Moon,Georgia Southern,Sun Belt
Dylan Keeney,Colorado,Pac-12
Brian Lankford-Johnson,Purdue,Big Ten
Michael Gallup,Colorado State,Mountain West
J.D. Moore,LSU,SEC
Jordan Miller,Washington,Pac-12
Peter Ngobidi,UMass,FBS Independents
Riley McCarron,Iowa,Big Ten
Damani Alexcee,Texas State,Sun Belt
William Likely,Maryland,Big Ten
Deangelo Antoine,South Florida,American Athletic
Alfonso Onunwor,Idaho,Sun Belt
N'Keal Harry,Arizona State,Pac-12
Kavious Price,Kent State,Mid-American
Robert Jackson Jr.,Bowling Green,Mid-American
Scott Pagano,Clemson,ACC
Terrance Bush,Bowling Green,Mid-American
Ben Holt,Western Kentucky,Conference USA
Kerrith Whyte Jr.,Florida Atlantic,Conference USA
Rashaad Penny,San Diego State,Mountain West
Malique Jackson,Florida State,ACC
James Lockhart,Texas A&M,SEC
Jordan Villamin,Oregon State,Pac-12
Aaron Boumerhi,Temple,American Athletic
Dailen Sutton,Air Force,Mountain West
Geron Christian,Louisville,ACC
Tyler Campbell,Army,FBS Independents
Anthony Williams,Utah State,Mountain West
Dalvin Cook,Florida State,ACC
Jacob Hollister,Wyoming,Mountain West
Thakarius Keyes,Tulane,American Athletic
Dorian Baker,Kentucky,SEC
Jackson Solebeck,New Mexico State,Sun Belt
" Team",Idaho,Sun Belt
Kody Kroening,Fresno State,Mountain West
Ahmari Hayes,Illinois,Big Ten
Charles Jones,Kansas State,Big 12
Nate Wozniak,Minnesota,Big Ten
Marcelino Ball,Indiana,Big Ten
Quadree Henderson,Pittsburgh,ACC
Winston Guillory,Vanderbilt,SEC
Raelon Singleton,Utah,Pac-12
Nile Sykes,Indiana,Big Ten
Adarius Pickett,UCLA,Pac-12
Ronnie Moore,Bowling Green,Mid-American
Nate Ozdemir,Florida Atlantic,Conference USA
Kekoa Crawford,Michigan,Big Ten
Jasper Sasser,South Carolina,SEC
Derrius Guice,LSU,SEC
Bailey McElwain,Vanderbilt,SEC
Javon Hagan,Ohio,Mid-American
Jacob Robinson,Indiana,Big Ten
Justin Jones,NC State,ACC
Cooper Bateman,Alabama,SEC
Kennedy Frazier,Toledo,Mid-American
Daniel Hamm,Virginia,ACC
Najee Murray,Kent State,Mid-American
Cam Phillips,Virginia Tech,ACC
Jordan Gehrke,Colorado,Pac-12
Brandon Harris,Bowling Green,Mid-American
Darryl Richards,Toledo,Mid-American
Caleb Bluiett,Texas,Big 12
Omari Cobb,Marshall,Conference USA
LeShun Daniels Jr.,Iowa,Big Ten
Brandon Crawford,Buffalo,Mid-American
Meffy Koloamatangi,Hawai'i,Mountain West
Darveon Brown,Arkansas State,Sun Belt
Bryce Lewis,Vanderbilt,SEC
Garrett Sickels,Penn State,Big Ten
Bryan Wright,Cincinnati,American Athletic
Joshua Kalu,Nebraska,Big Ten
Gerri Germaine Green,Mississippi State,SEC
Aaron Boumerhi,Temple,American Athletic
Chris Moody,South Carolina,SEC
Hunter Dimick,Utah,Pac-12
Thaddeus Moss,NC State,ACC
Gabe Schrade,Texas State,Sun Belt
Chris Ford,Buffalo,Mid-American
Kendall Hill,Oregon State,Pac-12
Matt Stewart,Navy,American Athletic
Mazzi Wilkins,South Florida,American Athletic
Jeremiah Jackson,Ball State,Mid-American
Jay Roberson,Central Michigan,Mid-American
Andrzej Hughes-Murray,Oregon State,Pac-12
Dare Odeyingbo,Vanderbilt,SEC
JaMichael Winston,Arkansas,SEC
Robert Wheelwright,Wisconsin,Big Ten
C.J. Conrad,Kentucky,SEC
Dylan Luther,UCLA,Pac-12
David Blough,Purdue,Big Ten
Curtis Mikell,Southern Mississippi,Conference USA
Blake Gillikin,Penn State,Big Ten
Mike Ramsay,Duke,ACC
Tanner Gentry,Wyoming,Mountain West
Ito Smith,Southern Mississippi,Conference USA
Colby Pearson,BYU,FBS Independents
Tyler Weaver,Air Force,Mountain West
" Team",Boise State,Mountain West
Aaron Young,Duke,ACC
Jeremy McNichols,Boise State,Mountain West
Donnie Starks,Kansas State,Big 12
Malcolm Perry,Navy,American Athletic
Jhaustin Thomas,Iowa State,Big 12
Alex Starzyk,Temple,American Athletic
Christian Rector,USC,Pac-12
Jabrill Peppers,Michigan,Big Ten
Evan Fairs,Kansas,Big 12
DeAndre Goolsby,Florida,SEC
Darrell Brown,Old Dominion,Conference USA
Brayden Beard,Cincinnati,American Athletic
Taquan Mizzell,Virginia,ACC
Max McDonald,Colorado State,Mountain West
Jordan Silva,Nevada,Mountain West
Mark Thompson,Florida,SEC
Corbin White,UT San Antonio,Conference USA
Tyreim Blake,Old Dominion,Conference USA
Francis Owusu,Stanford,Pac-12
Dakota Ball,Alabama,SEC
Dalton Sturm,UT San Antonio,Conference USA
Da'Leon Ward,Texas Tech,Big 12
Mitchell Ludwig,Virginia Tech,ACC
Ricky Seals-Jones,Texas A&M,SEC
Nicolai Bornand,UNLV,Mountain West
Austin Walter,Rice,Conference USA
Devin Glenn,Tulane,American Athletic
Santos Ramirez,Arkansas,SEC
Peyton Theisler,New Mexico State,Sun Belt
Jeremy Kelly,San José State,Mountain West
Devonte Young,Iowa,Big Ten
Andrew Marshall,Georgia Tech,ACC
" Team",Arkansas State,Sun Belt
" Team",Texas,Big 12
Nathan Peterman,Pittsburgh,ACC
Alex Leslie,Houston,American Athletic
Isaiah Jones,Southern Mississippi,Conference USA
" Team",Western Kentucky,Conference USA
Jordan Guest,Florida International,Conference USA
Ricky DeBerry,Oklahoma,Big 12
Marlon Davidson,Auburn,SEC
Johnathan Boone,New Mexico State,Sun Belt
Kolbi McGary,UTEP,Conference USA
Malcolm Buggs,South Alabama,Sun Belt
Danny Friend,Indiana,Big Ten
DeAndre Lane,Maryland,Big Ten
JoJo Wicker,Arizona State,Pac-12
Julian Rochester,Georgia,SEC
Steven Sims Jr.,Kansas,Big 12
Chayce Crouch,Illinois,Big Ten
Jr. Barnwell,New Mexico,Mountain West
C.J. Reavis,Marshall,Conference USA
Terrell Richardson,East Carolina,American Athletic
Patrick Gamble,Georgia Tech,ACC
Walter Dawn Jr.,UTEP,Conference USA
Chris Laviano,Rutgers,Big Ten
Cameron Echols-Luper,Arkansas State,Sun Belt
Shane Buechele,Texas,Big 12
Jared Mapps,Louisiana Monroe,Sun Belt
Donte Jackson,LSU,SEC
Corey Bojorquez,New Mexico,Mountain West
Josh Wariboko-Alali,UCLA,Pac-12
Gaelin Elmore,Minnesota,Big Ten
Eric Thomas,Tulane,American Athletic
Ryan Santos,New Mexico,Mountain West
Cameron Sutton,Tennessee,SEC
Basit Dennis,UMass,FBS Independents
Chawntez Moss,Pittsburgh,ACC
Emmett Thomas,Central Michigan,Mid-American
Lenoy Jones Jr.,Baylor,Big 12
George Carmona,UNLV,Mountain West
Ervin Philips,Syracuse,ACC
Daryus Thompson,Miami (OH),Mid-American
Gary Jennings,West Virginia,Big 12
David Yancey,Purdue,Big Ten
Alex Huerta,Utah State,Mountain West
Jordan Iosefa,USC,Pac-12
Fred Ross,Mississippi State,SEC
Aaron Fuller,Washington,Pac-12
Matt Quarells,New Mexico,Mountain West
Nick Jacobs,Memphis,American Athletic
Logan Wilson,Wyoming,Mountain West
Lewis Neal,LSU,SEC
Bernard Davis,UMass,FBS Independents
Mike Boone,Cincinnati,American Athletic
Armand Perry,Arizona State,Pac-12
Alex Dale,Middle Tennessee,Conference USA
Randy Stites,Ohio,Mid-American
Daniel Jones,Duke,ACC
Patrick Mahomes,Texas Tech,Big 12
Chase Blakley,Boise State,Mountain West
Kavika Fonua,BYU,FBS Independents
Max Linder,Middle Tennessee,Conference USA
Kyle Queiro,Northwestern,Big Ten
Cole Cook,NC State,ACC
Charles Chandler,Kent State,Mid-American
Calvin Cass Jr.,Navy,American Athletic
Donald De La Haye,UCF,American Athletic
Jalen McCleskey,Oklahoma State,Big 12
Deionte Buckley,Cincinnati,American Athletic
Stody Bradley,New Mexico State,Sun Belt
Tee Sims,Appalachian State,Sun Belt
Quay Chambers,Duke,ACC
Alonzo McGee,Georgia State,Sun Belt
Darrius Rosser,Arkansas State,Sun Belt
Dionte Mullins,Miami,ACC
Louie Zervos,Ohio,Mid-American
Ben DeLuca,Charlotte,Conference USA
Johnny Tapusoa,BYU,FBS Independents
Justin Moody,Eastern Michigan,Mid-American
Carlton Djam,Minnesota,Big Ten
Brandon Bell,Penn State,Big Ten
Barry Sanders,Oklahoma State,Big 12
Lance Austin,Georgia Tech,ACC
Ross Alexander,Georgia Southern,Sun Belt
" Team",USC,Pac-12
Cameron Griffin,UCLA,Pac-12
Tra Barnett,Georgia State,Sun Belt
Sam Harris,South Alabama,Sun Belt
Stefan Claiborne,Western Michigan,Mid-American
Noah Furbush,Michigan,Big Ten
Malachi Mageo,Hawai'i,Mountain West
Thomas Koufie,Louisiana Monroe,Sun Belt
Brent Stockstill,Middle Tennessee,Conference USA
Bryce Peters,Colorado State,Mountain West
Kaleb Barker,Troy,Sun Belt
Kody Kohl,Arizona State,Pac-12
Christian Wilkins,Clemson,ACC
