player,team,conference
Ben Luckett,Louisiana Monroe,Sun Belt
Jadon Boatright,New Mexico,Mountain West
Reggie Davis,Georgia,SEC
Tyler Stewart,Nevada,Mountain West
Kevin Maurice,Nebraska,Big Ten
Marquez Valdes-Scantling,South Florida,American Athletic
Donny Kyre,Central Michigan,Mid-American
Ridwan Issahaku,TCU,Big 12
Diantae Thomas,South Alabama,Sun Belt
Juan Giraldo,Eastern Michigan,Mid-American
Frank Epitropoulos,Michigan State,Big Ten
James Bynes,South Alabama,Sun Belt
Austin Sanders,Eastern Michigan,Mid-American
Sawyer Williams,Arkansas State,Sun Belt
Jordan Franks,UCF,American Athletic
C.J. Reese,Kansas State,Big 12
Jeffrey McCulloch,Texas,Big 12
Pat Green,East Carolina,American Athletic
Austin Barnes,Eastern Michigan,Mid-American
Mike Weaver,Wake Forest,ACC
Devonte Fields,Louisville,ACC
" Team",South Florida,American Athletic
Jomez Applewhite,Southern Mississippi,Conference USA
Chris Blewitt,Pittsburgh,ACC
JaKevin Jackson,Western Michigan,Mid-American
Jeremy Tyler,West Virginia,Big 12
Matthew Jordan,Georgia Tech,ACC
Brandon Wilson,Houston,American Athletic
Brandon Childress,Central Michigan,Mid-American
Alexander Mattison,Boise State,Mountain West
Tom Sheldon,North Carolina,ACC
Cethan Carter,Nebraska,Big Ten
Mitchell Paige,Indiana,Big Ten
Dante Barnett,Kansas State,Big 12
Worth Gregory,East Carolina,American Athletic
Quinetin Jackson,North Texas,Conference USA
Matthew Dayes,NC State,ACC
Garrett Taylor,Penn State,Big Ten
Mikah Holder,San Diego State,Mountain West
Blessuan Austin,Rutgers,Big Ten
JaKevin Jackson,Western Michigan,Mid-American
Tucker McCann,Missouri,SEC
Thomas McGwire,New Mexico State,Sun Belt
Thaddeous Thompson,North Texas,Conference USA
T.J. Smith,Arkansas,SEC
Richard Moore,Texas A&M,SEC
Jon Hilliman,Boston College,ACC
Denzel Irvin,Charlotte,Conference USA
Daniel Portillo,UT San Antonio,Conference USA
Malik Williams,Louisville,ACC
Tito Odenigbo,Illinois,Big Ten
Logan Wilson,Wyoming,Mountain West
Darren Carrington II,Oregon,Pac-12
Kedrick Davis,Charlotte,Conference USA
Chad Banschbach,Cincinnati,American Athletic
Jesus Wilson,Florida State,ACC
Corbin McCarthy,Duke,ACC
Elijah Sullivan,Kansas State,Big 12
Elijah Lee,Kansas State,Big 12
Michael Martin,Illinois,Big Ten
Davon Jones,Boston College,ACC
Terry Mark,Houston,American Athletic
Dawson Knox,Ole Miss,SEC
Corbin McCarthy,Duke,ACC
Levarious Varnado,Louisiana,Sun Belt
Boaz Joseph,Nebraska,Big Ten
Brian O'Neill,Pittsburgh,ACC
Rhett Almond,BYU,FBS Independents
Miles Sanders,Penn State,Big Ten
John Johnson III,Boston College,ACC
Dallin Leavitt,Utah State,Mountain West
Fred Scott,North Texas,Conference USA
Nico Lima,San José State,Mountain West
Matt Lea,UNLV,Mountain West
Sewo Olonilua,TCU,Big 12
Kennedy Williams,Utah State,Mountain West
Austin Allen,Arkansas,SEC
Tyriq Harris,Charlotte,Conference USA
Brandon Garner,North Texas,Conference USA
Jake Bailey,Stanford,Pac-12
Jack Steed,Florida State,ACC
Manny Rugamba,Iowa,Big Ten
Jack Austin,California,Pac-12
Justin Vogel,Miami,ACC
Quintin Wirginis,Pittsburgh,ACC
Devin Ross,Colorado,Pac-12
Dee Smith,Louisville,ACC
