player,team,conference
Marquel Dismuke,Nebraska,Big Ten
Jabbar Muhammad,Oklahoma State,Big 12
Javian Hawkins,Louisville,ACC
Nife Oseni,Ohio,Mid-American
Demani Richardson,Texas A&M,SEC
Lance Deveaux Jr.,Northern Illinois,Mid-American
James Smith,Cincinnati,American Athletic
Derek Burns,UCF,American Athletic
Micaleous Elder,Charlotte,Conference USA
Marquiss Spencer,Mississippi State,SEC
Darrell Luter Jr,South Alabama,Sun Belt
Dontae Fleming,Louisiana,Sun Belt
Myles Cole,Louisiana Monroe,Sun Belt
Deron Harrell,Wisconsin,Big Ten
Malik Antoine,Stanford,Pac-12
Sampson James,Indiana,Big Ten
George Douglas,Central Michigan,Mid-American
J.T. Wahee,Ball State,Mid-American
Bryson Williams,Wisconsin,Big Ten
Nels Haltom,Utah State,Mountain West
Natrone Brooks,Southern Mississippi,Conference USA
Jonathan Ford,Miami,ACC
Nik Bonitto,Oklahoma,Big 12
Chris Rumph II,Duke,ACC
Brandon Crossley,SMU,American Athletic
Jack Crane,Wake Forest,ACC
Nate Williams,Akron,Mid-American
Blake Harrington,Wyoming,Mountain West
Dominic Mammarelli,Miami,ACC
Steven Witchoskey,Western Kentucky,Conference USA
Marcus Wiggins,Navy,American Athletic
Jirehl Brock,Iowa State,Big 12
DeVontres Dukes,South Florida,American Athletic
Gregory Grate Jr.,Middle Tennessee,Conference USA
Adam Krumholz,Wisconsin,Big Ten
" Team",Liberty,FBS Independents
Braeden E. Daniels,Utah,Pac-12
" Team",Kentucky,SEC
Malik Jackson,Louisiana Monroe,Sun Belt
Paul Moala,Notre Dame,FBS Independents
Cade Robinson,Liberty,FBS Independents
Korey Hernandez,Eastern Michigan,Mid-American
Dawson Downing,Missouri,SEC
Calvin Brownholtz,UTEP,Conference USA
Andy Peters,Boise State,Mountain West
Kevin Shaa,Liberty,FBS Independents
Tomon Fox,North Carolina,ACC
Dominique Shoffner,Charlotte,Conference USA
Romeo Mcknight,Charlotte,Conference USA
Julian Richardson,Akron,Mid-American
Justin McGriff,Utah State,Mountain West
Johnny Huntley III,Liberty,FBS Independents
Shemar Jean-Charles,Appalachian State,Sun Belt
Anthony Watts,Purdue,Big Ten
Steve Linton,Syracuse,ACC
Devyn Ford,Penn State,Big Ten
Dayton LeBlanc,North Texas,Conference USA
Theo Wease,Oklahoma,Big 12
Jermaine Braddock,San José State,Mountain West
Shaquez Bond,Utah State,Mountain West
A.J. Davis,Pittsburgh,ACC
Isaiahh Loudermilk,Wisconsin,Big Ten
Lopini Katoa,BYU,FBS Independents
Drew Wiley,Kansas State,Big 12
Stone Norton,Florida International,Conference USA
Tanner Morgan,Minnesota,Big Ten
Ben Finley,NC State,ACC
Seth Coleman,Illinois,Big Ten
Cortez Davis,Hawai'i,Mountain West
Garrett Wilson,Ohio State,Big Ten
Kyle Williams,UNLV,Mountain West
Anthony Wilson,Georgia Southern,Sun Belt
Jacob Gasser,UNLV,Mountain West
Sylvester Mayers,Clemson,ACC
Jaylon Monroe,Tulane,American Athletic
JT Woods,Baylor,Big 12
Garrett Dzuro,UMass,FBS Independents
Saeed Holt,Toledo,Mid-American
Trae Meadows,Western Kentucky,Conference USA
Gerald Green,Georgia Southern,Sun Belt
Noah Potter,Ohio State,Big Ten
Shi'heem Watkins,Coastal Carolina,Sun Belt
Mike Hampton,South Florida,American Athletic
Devyn Butler,Texas Tech,Big 12
E.J. Porter,Coastal Carolina,Sun Belt
Zach Elder,Louisiana Monroe,Sun Belt
Chaz Ah You,BYU,FBS Independents
Jevon Bigelow,Fresno State,Mountain West
Changa Hodge,Virginia Tech,ACC
Reggie Grimes,Oklahoma,Big 12
Chance Warren,Navy,American Athletic
Dezmon Jackson,Oklahoma State,Big 12
Eddie Ogamba,Iowa State,Big 12
Jake Moody,Michigan,Big Ten
Austin Talbert-Loving,Navy,American Athletic
Mosiah Nasili-Kite,Maryland,Big Ten
Javion Posey,Florida Atlantic,Conference USA
" Team",Colorado,Pac-12
Robie Glass,Kent State,Mid-American
" Team",Kansas State,Big 12
Nic Smith,North Texas,Conference USA
Phillip Brooks III,Kansas State,Big 12
Jamarye Joiner,Arizona,Pac-12
Max Worship,Vanderbilt,SEC
Kortlin Rausaw,North Texas,Conference USA
Troy Golden,Colorado State,Mountain West
E.J. Brown,Buffalo,Mid-American
Tevaka Tuioti,New Mexico,Mountain West
D.J. Graham,Oklahoma,Big 12
Milton Williams,Louisiana Tech,Conference USA
Harry Trotter,Kansas State,Big 12
Braden Fiske,Western Michigan,Mid-American
Treylon Burks,Arkansas,SEC
DJ Brown,Louisiana Tech,Conference USA
Todd Sibley Jr.,Pittsburgh,ACC
Rutger Reitmaier,Vanderbilt,SEC
Jack Sears,Boise State,Mountain West
Liam Jones,Kansas,Big 12
Travis Tisdale,Kentucky,SEC
Dalen Morris,Navy,American Athletic
Brandon Talton,Nevada,Mountain West
Grant Sawyer,Tulsa,American Athletic
Boone Bonnema,Western Michigan,Mid-American
Tony Poljan,Virginia,ACC
Nikko Remigio,California,Pac-12
Kenyon Oblad,UNLV,Mountain West
Dimitri Stanley,Colorado,Pac-12
Anthony Enechukwu,Western Michigan,Mid-American
Trey Palmer,LSU,SEC
Chevan Cordeiro,Hawai'i,Mountain West
Brevin Jordan,Miami,ACC
Trey Palmer,LSU,SEC
Ta'Shoyn Johnson,North Texas,Conference USA
Christian Clayton,UT San Antonio,Conference USA
Tyson Meiguez,Georgia Tech,ACC
Brady Russell,Colorado,Pac-12
" Team",Alabama,SEC
Miller Mosley,Georgia Southern,Sun Belt
Blessman Ta'Ala,Hawai'i,Mountain West
Logan Taylor,Hawai'i,Mountain West
Jalen Madden,Western Kentucky,Conference USA
Will Koch,UMass,FBS Independents
Terrion Avery,South Alabama,Sun Belt
Kameron Butler,Miami (OH),Mid-American
Kellen Mond,Texas A&M,SEC
Joey Gatewood,Kentucky,SEC
Gabe Reid,Stanford,Pac-12
Henry Parrish Jr.,Ole Miss,SEC
Ryan Johnson,Stanford,Pac-12
Clay Holford,Eastern Michigan,Mid-American
Jordan Addison,Pittsburgh,ACC
Kevin Meitzenheimer,Utah State,Mountain West
Saeed Holt,Toledo,Mid-American
Nathan Pickering,Mississippi State,SEC
Quincey Miller,Troy,Sun Belt
Eli Stove,Auburn,SEC
Jayden Reed,Michigan State,Big Ten
Chance Lovertich,South Alabama,Sun Belt
Benny McCray,Florida International,Conference USA
Jermaine McMillian,UCF,American Athletic
Collin Schlee,Kent State,Mid-American
Caden Prieskorn,Memphis,American Athletic
Josh Wallace,UMass,FBS Independents
Matthew Murla,Air Force,Mountain West
Wesley Kommer,Nevada,Mountain West
Elijah Jones,Kansas,Big 12
Elijhah Badger,Arizona State,Pac-12
Quincy Riley,Middle Tennessee,Conference USA
Willie Wright,Florida Atlantic,Conference USA
Aidan Livingston,Boston College,ACC
Rashawn Battle,Rutgers,Big Ten
Ross Bowers,Northern Illinois,Mid-American
Nigel Bethel Jr.,Colorado,Pac-12
Andre Jones,Louisiana,Sun Belt
Levi Archer,Kansas State,Big 12
Natrone Brooks,Southern Mississippi,Conference USA
Samuel Emilus,UMass,FBS Independents
" Team",Rice,Conference USA
Ayodele Adeoye,Texas,Big 12
Qwuantrezz Knight,UCLA,Pac-12
Lachlan Wilson,Tulsa,American Athletic
Jalen Pitre,Baylor,Big 12
Jay Maclin,Missouri,SEC
Joey Noble,New Mexico,Mountain West
Bentavious Thompson,UCF,American Athletic
Brenden Rice,Colorado,Pac-12
Amari Rodgers,Clemson,ACC
Jordan Moore,Houston,American Athletic
Zion Keith,Wake Forest,ACC
Deonte Sheffield,Florida State,ACC
Will Spiers,Clemson,ACC
Tavita Gagnier,BYU,FBS Independents
Kamari Pleasant,Washington,Pac-12
Geovante' Howard,Purdue,Big Ten
LaJohntay Wester,Florida Atlantic,Conference USA
Blake Gallagher,Northwestern,Big Ten
Tony Bradford Jr.,Texas Tech,Big 12
Moses Douglass,Kentucky,SEC
Paul Woods,Rutgers,Big Ten
Simi Fehoko,Stanford,Pac-12
Justice Ellison,Wake Forest,ACC
Elmer Pauni,New Mexico,Mountain West
Noah Gray,Duke,ACC
Jalon Calhoun,Duke,ACC
Ben Finley,NC State,ACC
Judge Culpepper,Penn State,Big Ten
Sebastain Costantini,Penn State,Big Ten
Gunnar Holmberg,Duke,ACC
Terence Fall,BYU,FBS Independents
Jermaine Braddock,San José State,Mountain West
Michiah Burton,Akron,Mid-American
Theo Wease,Oklahoma,Big 12
Nolan Turner,Clemson,ACC
Joe Milton,Michigan,Big Ten
Brendon Harris,Vanderbilt,SEC
Nick Tronti,Florida Atlantic,Conference USA
William Putnam,Clemson,ACC
Devin Chandler,Wisconsin,Big Ten
Omar Speights,Oregon State,Pac-12
Xavier Newman,Baylor,Big 12
Jake Abbott,West Virginia,Big 12
Sean Clifford,Penn State,Big Ten
Dazz Newsome,North Carolina,ACC
Luke Glassock,Wyoming,Mountain West
Chase Brown,Illinois,Big Ten
Jeremiah Jean-Baptiste,UCF,American Athletic
Challen Faamatau,Maryland,Big Ten
Zach Gibson,Akron,Mid-American
Cole McGowan,Houston,American Athletic
David Green,Pittsburgh,ACC
Anthonie Cooper,Arizona State,Pac-12
Brady White,Memphis,American Athletic
Erick Hallett,Pittsburgh,ACC
DJ Brown,Louisiana Tech,Conference USA
Troy Golden,Colorado State,Mountain West
Eteva Mauga-Clements,Nebraska,Big Ten
Cornelious Brown,Georgia State,Sun Belt
Ken Seals,Vanderbilt,SEC
Paris Ford,Pittsburgh,ACC
Lummie Young IV,Duke,ACC
Barrett Banister,Missouri,SEC
Tyjon Lindsey,Oregon State,Pac-12
Byron Young,Alabama,SEC
Tariq Woolen,UT San Antonio,Conference USA
Drew Plitt,Ball State,Mid-American
Nadab Joseph,Nebraska,Big Ten
AJ Mathis,Florida International,Conference USA
Cameron Watts,Texas Tech,Big 12
D.J. Graham,Oklahoma,Big 12
N'Kosi Perry,Miami,ACC
Jason Diaz Jr.,Fresno State,Mountain West
Tyler Manoa,UCLA,Pac-12
Tim Mcclendon,Air Force,Mountain West
Mykel Jones,Tulane,American Athletic
Delarrin Turner-Yell,Oklahoma,Big 12
Dominique Long,Michigan State,Big Ten
Josh Landry,Baylor,Big 12
Ben Freehill,Oklahoma State,Big 12
Devonte Lee,Nevada,Mountain West
Camden Price,Miami,ACC
De'Montre Tuggle,Ohio,Mid-American
Cody Jones,UMass,FBS Independents
Deontai Williams,Nebraska,Big Ten
Jeremy Martin,UMass,FBS Independents
Camerun Peoples,Appalachian State,Sun Belt
Pressley Harvin III,Georgia Tech,ACC
Jacob Free,Troy,Sun Belt
Devin Thomas,Southern Mississippi,Conference USA
Markenzy Pierre,Syracuse,ACC
Justin Gardner,Kansas State,Big 12
Tarique Barnes,Illinois,Big Ten
Lucas Johnson,San Diego State,Mountain West
Kieran Clark,Nevada,Mountain West
Champ Flemings,Oregon State,Pac-12
Daniel Bellinger,San Diego State,Mountain West
Karmi Mackey,Eastern Michigan,Mid-American
Velus Jones Jr.,Tennessee,SEC
Arian Gregory,Southern Mississippi,Conference USA
John Richardson,Northern Illinois,Mid-American
Luke Murphy,Kent State,Mid-American
Earl Tuioti-Mariner,BYU,FBS Independents
Gerrit Prince,UAB,Conference USA
Marcus Valdez,Boston College,ACC
Hank Grenda,Ball State,Mid-American
Kenneth Orji,Rice,Conference USA
Vito Calvaruso,Arkansas,SEC
Jamykal Neal,Houston,American Athletic
Devonta'e Henry-Cole,Utah State,Mountain West
Caleb Lightbourn,Oregon State,Pac-12
Shaun Jolly,Appalachian State,Sun Belt
Jalyn Phillips,Clemson,ACC
Tyler Nevens,San José State,Mountain West
Dameon Pierce,Florida,SEC
Hayden Livingston,BYU,FBS Independents
Tailon Leitzsey,Illinois,Big Ten
Wesley Kommer,Nevada,Mountain West
Kellen Diesch,Arizona State,Pac-12
Levi Falck,Nebraska,Big Ten
Steven Fiso,Hawai'i,Mountain West
Terion Stewart,Bowling Green,Mid-American
CJ Marable,Coastal Carolina,Sun Belt
Richard Dames,Florida International,Conference USA
Jarvis Ware,Missouri,SEC
Tre'Shaun Clark,Liberty,FBS Independents
Cam Jones,Indiana,Big Ten
Julon Williams,UT San Antonio,Conference USA
Wayne Toussant,Louisiana Tech,Conference USA
Marquez Bembry,Kentucky,SEC
Arian Smith,Georgia,SEC
Kyle Beaudry,UNLV,Mountain West
Keylon Stokes,Tulsa,American Athletic
Tyler Lavine,SMU,American Athletic
Dylan Parham,Memphis,American Athletic
Calvin Turner,Hawai'i,Mountain West
Chris Tyree,Notre Dame,FBS Independents
Malik Antoine,Stanford,Pac-12
Lucas Johnson,San Diego State,Mountain West
Bryce Cosby,Ball State,Mid-American
Joel Dublanko,Cincinnati,American Athletic
Caleb Thomas,Tulane,American Athletic
Peter Leblanc,Louisiana,Sun Belt
Isaiah McGuire,Missouri,SEC
Tim Jones,Southern Mississippi,Conference USA
Richard Burney,Virginia,ACC
Henry Pearson,Appalachian State,Sun Belt
Esaias Carpenter,Marshall,Conference USA
Nate Ritchie,Utah,Pac-12
Brayden Matts,Coastal Carolina,Sun Belt
DeVonta Smith,Alabama,SEC
Bo Melton,Rutgers,Big Ten
Jaylon Sharpe,Charlotte,Conference USA
Fabrice Voyne,Army,FBS Independents
Bryce Brand,West Virginia,Big 12
Ontario Russell,Miami (OH),Mid-American
Dom Peterson,Nevada,Mountain West
Jack Wilson,Ohio,Mid-American
Emmanuel Logan-Greene,New Mexico,Mountain West
Tre Caine,UNLV,Mountain West
James Wiggins,Cincinnati,American Athletic
Caleb Griffin,Illinois,Big Ten
Orlando Lacey,Troy,Sun Belt
Brendan Manigo,San José State,Mountain West
Max Rosenthal,Michigan State,Big Ten
Thayer Thomas,NC State,ACC
Tahj Sykes,Southern Mississippi,Conference USA
Mac Jones,Alabama,SEC
Miller Forristall,Alabama,SEC
Ryan Mitchell,Navy,American Athletic
Chase Blaker,Virginia Tech,ACC
Tory Carter,LSU,SEC
Cameron Williams,Washington,Pac-12
Josh Aune,Minnesota,Big Ten
Shawn Robinson,Missouri,SEC
Quincy Jountti,USC,Pac-12
Simon Otte,Nebraska,Big Ten
Damien Alford,Syracuse,ACC
Kenan Christon,USC,Pac-12
Thayer Thomas,NC State,ACC
Daimarqua Foster,TCU,Big 12
Matthew Maloney,Clemson,ACC
Mekhi Garner,Louisiana,Sun Belt
Deonta Bembry,Georgia Southern,Sun Belt
Cody Jones,UMass,FBS Independents
Trey Ragas,Louisiana,Sun Belt
Jaylon Hutchings,Texas Tech,Big 12
Ramon Puryear,Louisville,ACC
Caleb Christensen,BYU,FBS Independents
Jordan Byrd,San Diego State,Mountain West
Spencer Petras,Iowa,Big Ten
Deontai Williams,Nebraska,Big Ten
Bryce Young,Alabama,SEC
Logan Wright,Georgia Southern,Sun Belt
Mason Pack,Missouri,SEC
Mike Epstein,Illinois,Big Ten
Anthony Fieldings,Georgia Southern,Sun Belt
Eriq Kitchen,Southern Mississippi,Conference USA
Layne Hatcher,Arkansas State,Sun Belt
Geordon Porter,Arizona State,Pac-12
Milan Tucker,Appalachian State,Sun Belt
Isaiah Cromarty,South Florida,American Athletic
Dalevon Campbell,Illinois,Big Ten
Joshua Tarango,Ball State,Mid-American
Michael Penix Jr.,Indiana,Big Ten
Jadon Thompson,Cincinnati,American Athletic
Javhari Bourdeau,Army,FBS Independents
Josh Proctor,Ohio State,Big Ten
Johnathan Lewis,Rutgers,Big Ten
Jimmy Daw,Ball State,Mid-American
Chris Curry,LSU,SEC
Johnathan Lewis,Rutgers,Big Ten
Dexter Carter Jr.,Georgia Southern,Sun Belt
Jordan Botelho,Notre Dame,FBS Independents
Brady Cook,Missouri,SEC
Malik Dunlap,NC State,ACC
Ben Yurosek,Stanford,Pac-12
Dwayne Johnson Jr.,San Diego State,Mountain West
- Team,UTEP,Conference USA
Joshua Carter,South Alabama,Sun Belt
Kene Nwangwu,Iowa State,Big 12
Kurtis Rourke,Ohio,Mid-American
Trenton Bourguet,Arizona State,Pac-12
Duane Martin,Louisville,ACC
DJ Brown,Notre Dame,FBS Independents
Jalen Denton,Ole Miss,SEC
Josh Ahern,Virginia,ACC
Elijah Green,North Carolina,ACC
Rhamondre Stevenson,Oklahoma,Big 12
Dylan Leonard,Georgia Tech,ACC
MJ Tafisi,Washington,Pac-12
Dylan Tonkery,West Virginia,Big 12
Josh Burger,Texas Tech,Big 12
Khyiris Tonga,BYU,FBS Independents
Daniel Obarski,UCF,American Athletic
Darien Rencher,Clemson,ACC
T.K. Wilkerson,Tulsa,American Athletic
Nick Kargman,Western Michigan,Mid-American
William Putnam,Clemson,ACC
Jerome Ford,Cincinnati,American Athletic
Seth Phillis,Kent State,Mid-American
Sione Tonga'Uiha,UTEP,Conference USA
James Mitchell,Virginia Tech,ACC
Cash Gilliam,Utah State,Mountain West
Tucker Day,Mississippi State,SEC
Mike Maskalunas,Wisconsin,Big Ten
Jermaine Johnson Jr.,UMass,FBS Independents
Anthony Russo,Temple,American Athletic
Mike Wright,Vanderbilt,SEC
Seth Green,Minnesota,Big Ten
Cade Fennegan,Boise State,Mountain West
Shawn Davis,Florida,SEC
Tristan Golightly,Kansas,Big 12
Henry Colombi,Texas Tech,Big 12
Nic Smith,North Texas,Conference USA
Zach Smith,Tulsa,American Athletic
Xavior Gray,Akron,Mid-American
Ubaldo Nolasco,San Diego State,Mountain West
John Emmanuel,Texas State,Sun Belt
Jackson Lanam,Texas State,Sun Belt
Elisha Palm,Air Force,Mountain West
" ",Oregon State,Pac-12
Lyn-J Dixon,Clemson,ACC
Pailate Makakona,Utah State,Mountain West
Markeveon Coleman,Texas State,Sun Belt
Jalen Knox,Missouri,SEC
Ryan Henington,Kansas State,Big 12
Wyatt Davis,Ohio State,Big Ten
Jack Sape,Ball State,Mid-American
Ryan Meed,Illinois,Big Ten
Brock Nichols,South Florida,American Athletic
Joshua Fields,UTEP,Conference USA
Korey Hernandez,Eastern Michigan,Mid-American
Jesiah Pierre,Florida,SEC
Devin Phillips,Colorado State,Mountain West
Trey Ross,Appalachian State,Sun Belt
Booker Ficklin,Arkansas State,Sun Belt
Jordan Woods,Florida International,Conference USA
Jordan Lee,Nevada,Mountain West
Anthony Queeley,Syracuse,ACC
Racey McMath,LSU,SEC
Cary Angeline,NC State,ACC
Will Jones,Ball State,Mid-American
Sam LaPorta,Iowa,Big Ten
Quin Williams,Georgia Southern,Sun Belt
Maurice Hampton Jr.,LSU,SEC
Cory Munson,Western Kentucky,Conference USA
Hal Vinson,Texas State,Sun Belt
Dvon Ellies,Penn State,Big Ten
Jamal Hines,Toledo,Mid-American
Dallas Dixon,Central Michigan,Mid-American
" Team",USC,Pac-12
Avery Morrow,Nevada,Mountain West
Ibrahim Kante,NC State,ACC
Kendall Karr,North Carolina,ACC
Jared Wilson,South Alabama,Sun Belt
" Team",Western Michigan,Mid-American
Terrel Bernard,Baylor,Big 12
Marquez Stevenson,Houston,American Athletic
Josh Stewart,Tulsa,American Athletic
Darren Wilson,Iowa State,Big 12
Tedarrell Slaton,Florida,SEC
David Ellis,Indiana,Big Ten
CJ Marable,Coastal Carolina,Sun Belt
Dominic Johnson,Buffalo,Mid-American
Trevon Grimes,Florida,SEC
Eric Burrell,Wisconsin,Big Ten
Chad Muma,Wyoming,Mountain West
Deon Edwards,Arkansas,SEC
Mike Maskalunas,Wisconsin,Big Ten
Omari Alexander,Western Kentucky,Conference USA
William Bradley-King,Baylor,Big 12
Desmond Evans,North Carolina,ACC
Greg Bell,San Diego State,Mountain West
Marcell Barbee,Texas State,Sun Belt
Justus Rogers,Washington State,Pac-12
Jaetavian Toles,Tulane,American Athletic
Ubaldo Nolasco,San Diego State,Mountain West
JaVonta Payton,Mississippi State,SEC
Michael Wilson,Stanford,Pac-12
Damon Cole,Boise State,Mountain West
Aaron Lewis,Rutgers,Big Ten
Ellison Hubbard,Colorado State,Mountain West
Jaylen Erwin,UCLA,Pac-12
Christian Wells,Appalachian State,Sun Belt
Olakunle Fatukasi,Rutgers,Big Ten
Chance Lovertich,South Alabama,Sun Belt
Devin Chandler,Wisconsin,Big Ten
Paddy Fisher,Northwestern,Big Ten
Jared Ivey,Georgia Tech,ACC
Will Brown,Clemson,ACC
Jason Maitre,Boston College,ACC
Anthony Smith,Texas State,Sun Belt
Wesley Kennedy III,Georgia Southern,Sun Belt
Ronald Thompkins,Nebraska,Big Ten
Jer'Zhan Newton,Illinois,Big Ten
Lawrence Keys III,Notre Dame,FBS Independents
Trace Ford,Oklahoma State,Big 12
Andrew Jenkins,San José State,Mountain West
Jakorian Bennett,Maryland,Big Ten
Arnold Ebiketie,Temple,American Athletic
Alex Padilla,Iowa,Big Ten
Ben Dooley,Boise State,Mountain West
Blair Conwright,TCU,Big 12
Ethan Fernea,UCLA,Pac-12
Rico Tolefree,San José State,Mountain West
Xavier Lane,Western Kentucky,Conference USA
Javhari Bourdeau,Army,FBS Independents
SaRodorick Thompson,Texas Tech,Big 12
Chris Agyemang,Ball State,Mid-American
Dalles Jacobus,Iowa,Big Ten
Seth Green,Minnesota,Big Ten
Isaiah Morris,Army,FBS Independents
Chimere Dike,Wisconsin,Big Ten
Malcolm Rodriguez,Oklahoma State,Big 12
Nick Herbig,Wisconsin,Big Ten
Parker Christensen,Wyoming,Mountain West
Justin Clark,Toledo,Mid-American
DJ Exilhomme,South Alabama,Sun Belt
Kenyon Reed,San José State,Mountain West
Caden Prieskorn,Memphis,American Athletic
Akili Arnold,Oregon State,Pac-12
Derrick McLendon II,Florida State,ACC
Levani Damuni,Stanford,Pac-12
Shyheim Battle,NC State,ACC
Jadan Blue,Temple,American Athletic
Jaylen Hall,Western Michigan,Mid-American
Wesley Kennedy III,Georgia Southern,Sun Belt
R.J. Jennings,Mississippi State,SEC
Garrett Wilson,Ohio State,Big Ten
Shitta Sillah,Boston College,ACC
John Samuel Shenker,Auburn,SEC
Drew Rawls,Utah,Pac-12
Daniel Richardson,Central Michigan,Mid-American
Averie Habas,Southern Mississippi,Conference USA
Carlos Hatcher,Tulane,American Athletic
Jarvis Ware,Missouri,SEC
Alexander Smith,Wisconsin,Big Ten
Kimani Vidal,Troy,Sun Belt
Akayleb Evans,Tulsa,American Athletic
Roydell Williams,Alabama,SEC
Kyu Blu Kelly,Stanford,Pac-12
Gage Kreski,Central Michigan,Mid-American
Charlie Hamm,Duke,ACC
Marlowe Wax,Syracuse,ACC
Jamal Woods,Illinois,Big Ten
Malik Jackson,Louisiana Monroe,Sun Belt
Nehemiah Pritchett,Auburn,SEC
Fabien Lovett,Florida State,ACC
Curtis Harper,Syracuse,ACC
Tyrell Robinson,Army,FBS Independents
J.J. Parson,Stanford,Pac-12
Esaias Furdge,Mississippi State,SEC
Griffin Fleming,Southern Mississippi,Conference USA
Luke Anthony,Louisiana Tech,Conference USA
Tyric LeBeauf,Boise State,Mountain West
A.J. Woods,Pittsburgh,ACC
John Hoyland,Wyoming,Mountain West
Quandre Mosely,Kentucky,SEC
Jadon Thompson,Cincinnati,American Athletic
Jalil Lecky,San Diego State,Mountain West
Bruno Labelle,Cincinnati,American Athletic
Demarcus Jones,Southern Mississippi,Conference USA
Taylor Compton,Utah State,Mountain West
Kamo'i Latu,Utah,Pac-12
Jordon Scott,Oregon,Pac-12
Matt Corral,Ole Miss,SEC
Nick Turner,Arkansas,SEC
Josh Kelly,Fresno State,Mountain West
B.J. Turner,Charlotte,Conference USA
Antwon Kincade,Western Kentucky,Conference USA
Devon Key,Western Kentucky,Conference USA
Jesiah Irish,Oregon State,Pac-12
Gabe Jeudy,Vanderbilt,SEC
Gregory Grate Jr.,Middle Tennessee,Conference USA
James Stefanou,Colorado,Pac-12
Jaylen Moody,Alabama,SEC
Devin Leary,NC State,ACC
BJ Busbee,San Diego State,Mountain West
Esaias Carpenter,Marshall,Conference USA
Jermaine Johnson,Georgia,SEC
Puka Nacua,Washington,Pac-12
Jaelen Gill,Boston College,ACC
Jasheen Davis,Wake Forest,ACC
Damon Cole,Boise State,Mountain West
Jacob Lewis,Ball State,Mid-American
Dalen Morris,Navy,American Athletic
Nykeim Johnson,Syracuse,ACC
Brian Cobbs,Maryland,Big Ten
Mohamoud Diabate,Florida,SEC
Derick Hunter,Texas A&M,SEC
Max Gilliam,UNLV,Mountain West
Willie Eldridge,UTEP,Conference USA
James Graham,Georgia Tech,ACC
Jeremiah Wright,Auburn,SEC
Alim McNeill,NC State,ACC
Emory Jones,Florida,SEC
Devyn Ford,Penn State,Big Ten
Ryder Anderson,Ole Miss,SEC
Merlin Robertson,Arizona State,Pac-12
Samson Nacua,Utah,Pac-12
Dennis Briggs Jr.,Florida State,ACC
Brandon Coleman,TCU,Big 12
Jordan Domineck,Georgia Tech,ACC
David Gbenda,Texas,Big 12
Isaiah Bagnah,Boise State,Mountain West
Frank Harris,UT San Antonio,Conference USA
Zeke Brown,Baylor,Big 12
Ja'Khi Douglas,Florida State,ACC
Quinn Potts,New Mexico,Mountain West
Velus Jones Jr.,Tennessee,SEC
Nick Rattin,Northern Illinois,Mid-American
Carson Wells,Colorado,Pac-12
Michael Bollinger,Liberty,FBS Independents
Ronnie Rivers,Fresno State,Mountain West
Matthew Murla,Air Force,Mountain West
Frank Harris,UT San Antonio,Conference USA
" Team",Southern Mississippi,Conference USA
Danny Blakeman,NC State,ACC
Kameron McQueen,Kansas,Big 12
" Team",New Mexico,Mountain West
Charlie Ham,Duke,ACC
Andrew Coker,TCU,Big 12
Nate Thompson,Duke,ACC
Elliott Brown,Virginia,ACC
Brandon Gooding,Air Force,Mountain West
Braden Galloway,Clemson,ACC
Michael Young,Cincinnati,American Athletic
Cameron Carroll,Tulane,American Athletic
" Team",Wyoming,Mountain West
Velton Gardner,Kansas,Big 12
Ty Danzy,Florida International,Conference USA
Tanner Morgan,Minnesota,Big Ten
Elvis Hines,Kent State,Mid-American
" Team",Florida State,ACC
Erroll Thompson,Mississippi State,SEC
Justin Mckithen,Florida Atlantic,Conference USA
Damari Roberson,Western Michigan,Mid-American
Stone Scarcelle,Marshall,Conference USA
Anselem Umeh,New Mexico,Mountain West
Vic Viramontes,UNLV,Mountain West
Tycen Anderson,Toledo,Mid-American
Piotr Partyla,Rutgers,Big Ten
David Ugwoegbu,Oklahoma,Big 12
Aaron Jackson,Eastern Michigan,Mid-American
Xavier Thomas,Clemson,ACC
Victor Santiago,UMass,FBS Independents
Jacolby Criswell,North Carolina,ACC
Andre Jones,Louisiana,Sun Belt
Dominic Gicinto,Missouri,SEC
Elisha Guidry,UCLA,Pac-12
Mike Morris,Michigan,Big Ten
Dylan Drummond,Eastern Michigan,Mid-American
Nikia Eason Jr.,UAB,Conference USA
Dahu Green,Arkansas State,Sun Belt
Jordan Myers,Rice,Conference USA
Jahmyr Gibbs,Georgia Tech,ACC
Cade Degraw,Kentucky,SEC
Jammie Robinson,South Carolina,SEC
Ben Kimpler,Miami (OH),Mid-American
Brennan Thieneman,Purdue,Big Ten
Zac Collins,Purdue,Big Ten
Alexander Thorpe,Stanford,Pac-12
" Team",Kent State,Mid-American
Logan Taylor,Hawai'i,Mountain West
Jared Wayne,Pittsburgh,ACC
Carson Strong,Nevada,Mountain West
Samson Nacua,Utah,Pac-12
BJ Ojulari,LSU,SEC
D.J. Uiagalelei,Clemson,ACC
Chris Hickman,Nebraska,Big Ten
Grissim Anderson,Duke,ACC
Austin Watkins,UAB,Conference USA
Jordon Brookshire,San Diego State,Mountain West
Daniel Wright,Alabama,SEC
Chauncey Manac,Louisiana,Sun Belt
Jarvis Brownlee,Florida State,ACC
Noel Iwuchukwu,Arkansas State,Sun Belt
Keenan Ellis,BYU,FBS Independents
Khalil Shakir,Boise State,Mountain West
Greg Garner,Louisiana Tech,Conference USA
Cole McGowan,Houston,American Athletic
