player_id,i_id,Player
929,10559,Ben Banogu
1111,10559,Ty Summers
1160,10559,Jalen Reagor
1170,10559,Jeff Gladney
1180,10559,Ross Blacklock
1237,10559,Lucas Niang
1381,10559,Vernon Scott
123,11347,William Jackson III
318,11347,Elandon Roberts
334,11347,Demarcus Ayers
406,11347,Tyus Bowser
487,11347,Howard Wilson
570,11347,Brandon Wilson
844,11347,Matthew Adams
888,11347,Ed Oliver
1011,11347,Isaiah Johnson
1084,11347,Emeke Egbule
1213,11347,Josh Jones
124,11437,Artie Burns
226,11437,Deon Bush
387,11437,David Njoku
474,11437,Rayshawn Jenkins
514,11437,Corn Elder
542,11437,Danny Isidora
559,11437,Al-Quadin Muhammad
578,11437,Brad Kaaya
583,11437,Stacy Coley
593,11437,Adrian Colbert
604,11437,Marquez Williams
686,11437,Chad Thomas
727,11437,Chris Herndon
732,11437,Mark Walton
760,11437,R.J. McIntosh
832,11437,Braxton Berrios
865,11437,Kendrick Norton
1001,11437,Sheldrick Redwine
1041,11437,Michael Jackson
1048,11437,Joe Jackson
1065,11437,Jaquan Johnson
1088,11437,Travis Homer
1282,11437,Shaquille Quarterman
1286,11437,DeeJay Dallas
1319,11437,K.J. Osborn
1387,11437,Jonathan Garvin
125,11435,Paxton Lynch
515,11435,Jake Elliott
669,11435,Anthony Miller
771,11435,Genard Avery
951,11435,Darrell Henderson
1010,11435,Tony Pollard
1207,11435,Antonio Gibson
1368,11435,Chris Claybrooks
1375,11435,Dustin Woodard
126,11230,Kenny Clark
136,11230,Myles Jack
251,11230,Caleb Benenoch
252,11230,Paul Perkins
257,11230,Jordan Payton
327,11230,Aaron Wallace
336,11230,Thomas Duarte
343,11230,Devin Fuller
384,11230,Takkarist McKinley
441,11230,Fabian Moreau
448,11230,Eddie Vanderdoes
517,11230,Jayon Brown
574,11230,Conor McDermott
627,11230,Josh Rosen
632,11230,Kolton Miller
742,11230,Kenny Young
776,11230,Scott Quessenberry
783,11230,Jordan Lasley
1139,11230,Caleb Wilson
1232,11230,Devin Asiasi
1252,11230,Darnay Holmes
1254,11230,Joshua Kelley
127,10107,Joshua Garnett
182,10107,Austin Hooper
233,10107,Blake Martinez
265,10107,Kevin Hogan
304,10107,Kyle Murphy
