i_id,wranking,nranking,year
3473,64,3,2018
3473,69,3,2017
3473,87,3,2016
3474,301,14,2019
3474,401,18,2018
3474,401,18,2017
3474,301,14,2016
3485,601,27,2020
3485,701,28,2019
3502,701,4,2020
3502,901,11,2019
3503,801,25,2020
3503,801,30,2019
3505,401,11,2020
3505,301,11,2019
3505,301,11,2018
3505,301,11,2017
3505,201,10,2016
3557,101,42,2020
3557,101,46,2019
3557,101,47,2018
3557,101,49,2017
3557,101,51,2016
3649,601,1,2020
3649,501,1,2019
3654,80,3,2020
3654,68,3,2019
3654,79,4,2018
3654,73,3,2017
3654,101,4,2016
3655,901,9,2020
3655,701,2,2019
3800,501,12,2020
3800,501,12,2019
3800,401,8,2017
3800,401,10,2016
3937,901,18,2020
3937,901,19,2019
3938,901,18,2020
3938,801,15,2019
3939,801,13,2020
3939,601,8,2019
3940,401,4,2020
3940,401,5,2019
3940,401,5,2018
3940,401,4,2017
3940,301,2,2016
3941,601,7,2020
3941,501,7,2019
3942,901,19,2019
3943,801,13,2020
3943,801,15,2019
3944,801,13,2020
3944,801,15,2019
3945,401,4,2020
3945,401,5,2019
3945,401,5,2018
3945,401,4,2017
3945,401,5,2016
3946,401,4,2020
3946,301,2,2019
3946,301,2,2018
3946,301,2,2017
3946,301,2,2016
3947,701,9,2020
3947,601,8,2019
3948,901,18,2020
3948,801,15,2019
3949,701,9,2020
3949,701,12,2019
3950,601,7,2020
3950,601,8,2019
3951,801,13,2020
3951,701,12,2019
3953,901,5,2019
3955,801,8,2020
3955,601,6,2019
3983,401,23,2020
3983,401,22,2019
3983,401,22,2018
3983,401,22,2017
3983,301,15,2016
3990,801,182,2020
3990,901,193,2019
4015,401,115,2020
4015,401,117,2019
4015,401,118,2018
4015,401,120,2017
4015,401,120,2016
4033,201,66,2020
4033,201,67,2019
4033,201,70,2018
4033,201,71,2017
4033,201,72,2016
4036,701,9,2020
4036,901,19,2019
4121,701,32,2019
4134,100,6,2020
4134,101,5,2019
4134,101,4,2018
4134,101,3,2017
4134,101,3,2016
4135,701,91,2019
4136,601,85,2020
4137,801,121,2020
4137,901,121,2019
4138,601,85,2020
4148,401,50,2020
4148,401,40,2019
4149,901,11,2019
4215,801,25,2020
4215,801,27,2019
4244,901,9,2020
4244,801,8,2019
4245,801,4,2020
4262,201,66,2020
4262,201,67,2019
4262,201,70,2018
4262,201,71,2017
4262,201,72,2016
4267,201,66,2020
4267,301,95,2019
4267,201,70,2018
4267,201,71,2017
4267,301,99,2016
4277,101,42,2020
4277,101,46,2019
4277,79,38,2018
4277,85,43,2017
4277,93,47,2016
4288,401,115,2020
4288,501,138,2019
4294,66,1,2020
4294,66,1,2019
4294,61,1,2018
4294,69,1,2017
4294,62,1,2016
4300,901,34,2020
4323,101,5,2020
4365,601,9,2020
4365,601,8,2019
4390,601,22,2019
4393,301,16,2020
4393,301,16,2019
4393,301,16,2018
4393,301,15,2017
4393,301,15,2016
4397,401,50,2020
4397,801,107,2019
4398,801,121,2020
4398,901,121,2019
4399,601,85,2020
4399,601,73,2019
4400,601,85,2020
4400,901,121,2019
4403,701,103,2020
4403,801,107,2019
4413,801,25,2020
4413,901,30,2019
4419,801,25,2020
4419,501,12,2019
4419,401,8,2017
4520,801,7,2020
4543,601,2,2020
4543,701,2,2019
4575,801,25,2020
4575,801,27,2019
4591,701,103,2020
4591,701,91,2019
4592,801,107,2019
4597,401,25,2020
4597,301,22,2019
