,instname,city,zip,tuition01,tuition02,tuition03,nettuition01,net_student_tuition,private03,stable_operating_rev,total03_revenue,total_enrollment,total_enrollment_amin_tot,total_enrollment_asian_tot,total_enrollment_black_tot,total_enrollment_hisp_tot,total_enrollment_white_tot,total_enrollment_multi_tot,total_enrollment_unkn_tot,total_enrollment_nonres_tot,total_executive_admin_managerial,total_faculty_all,full_time_employees,all_employees,salarytotal
173,Texas Tech University System Administration,Lubbock,79409-201,,,,,,,,,,,,,,,,,,,,,,
174,INTERNATIONAL BUSINESS SCHOOL,MCKINNEY,75069,,,,,,,,,,,,,,,,,,,,,,
175,DEVRY INSTITUTE OF TECHNOLOGY,IRVING,75063,,,,,,,,,,,,,,,,,,,,,,
176,DALLAS INSTITUTE OF ACUPUNCTURE AND ORIENTAL MED,DALLAS,75229,,,,,,,,,44.0,0.0,11.0,0.0,4.0,29.0,,0.0,0.0,,,,,
177,Everest Institute-Greenspoint,Houston,77060,,,9028584.0,9026129.0,6569853.0,,9026129.0,9028584.0,930.0,1.0,13.0,391.0,308.0,208.0,,9.0,0.0,,,,,
178,Everest Institute,Houston,77060,,,9659909.0,9659909.0,7132084.0,,9659909.0,9659909.0,869.0,0.0,4.0,420.0,206.0,230.0,,8.0,1.0,,,,,
179,Vanguard Institute of Technology,Pharr,78577,,,859040.0,856622.0,-104413.0,,1289092.0,1291510.0,505.0,0.0,0.0,1.0,504.0,0.0,,0.0,0.0,,,,,
180,EXPERT SOLUTIONS,RICHARDSON,75081-6540,,,,,,,,,,,,,,,,,,,,,,
181,SCHOOL OF HAIR DESIGN,PARIS,75460,,,,,,,,,,,,,,,,,,,,,,
182,BUSINESS SKILLS INSTITUTE-EL PASO,EL PASO,79921,,,1013350.0,1013350.0,567869.0,,1085896.0,1085896.0,392.0,2.0,1.0,8.0,358.0,23.0,,0.0,0.0,,,,,
183,North Texas Professional Career Institute,Dallas,75235,,,663706.0,663706.0,496446.0,,663706.0,663706.0,50.0,0.0,2.0,12.0,0.0,3.0,,25.0,8.0,,,,,
184,Dallas Nursing Institute,Dallas,75243,,,2447899.0,2447899.0,1927143.0,,2447899.0,2447899.0,154.0,1.0,3.0,87.0,10.0,45.0,,8.0,0.0,,,,,
185,DSU TRAINING INSTITUTE,HOUSTON,77004,,,1400.0,1400.0,-16753.0,,590288.0,466766.0,,,,,,,,,,,,,,
186,Academy of Health Care Professions,Austin,78752-363,,,,,,,,,,,,,,,,,,,,,,
187,BILINGUAL EDUCATION INSTITUTE,HOUSTON,77063,,,,,,,,,,,,,,,,,,,,,,
188,Advanced Barber College and Hair Design,Weslaco,78596,,,342421.0,342421.0,32914.0,,319541.0,319541.0,,,,,,,,,,,,,,
189,Star College of Cosmetology,Nacogdoches,75961-464,,,199876.0,174243.0,112207.0,,213274.0,138969.0,,,,,,,,,,,,,,
190,Toni & Guy Hairdressing Academy,Carrollton,75006,,,915040.0,915040.0,800973.0,,2157584.0,2143606.0,84.0,1.0,3.0,3.0,10.0,67.0,,0.0,0.0,,,,,
191,Toni & Guy Hairdressing Academy-Carrollton,Carrollton,75006,,,3581533.0,3581533.0,3010795.0,,4178977.0,4301711.0,166.0,1.0,5.0,6.0,33.0,116.0,0.0,4.0,1.0,2.0,13.0,20.0,23.0,
192,Southwestern Professional Institute,Houston,77056,,,1009563.0,1009563.0,904065.0,,1009563.0,1009563.0,,,,,,,,,,,,,,
193,AMERICAN WELD TESTING SCHOOL,BEAUMONT,77705,,,,,,,,,,,,,,,,,,,,,,
194,Touch of Class School of Cosmetology,Greenville,75402,,,235337.0,235337.0,117668.0,,296925.0,179257.0,71.0,0.0,0.0,10.0,0.0,55.0,,0.0,0.0,,,,,
195,Cosmetology Career Insitute,Greenville,75402,,,517557.0,517557.0,370873.0,,822959.0,970781.0,120.0,0.0,0.0,38.0,11.0,71.0,0.0,0.0,0.0,,,,,
196,COMPUTER LEARNING CENTERS INC,HOUSTON,77063,,,,,,,,,,,,,,,,,,,,,,
197,ITT Technical Institute,Richardson,75080,,,5264242.0,5264242.0,4678212.0,,5264242.0,5264242.0,431.0,2.0,9.0,94.0,77.0,202.0,,12.0,35.0,5.0,17.0,38.0,41.0,289957.0
198,ITT Technical Institute-Richardson,Richardson,75080,,,11318491.0,11318491.0,9897244.0,,11318491.0,11318491.0,696.0,0.0,16.0,186.0,211.0,279.0,,4.0,0.0,7.0,39.0,57.0,76.0,749563.0
199,CET-Socorro,Socorro,79927,,,116809.0,116809.0,56341.0,,789414.0,849882.0,87.0,0.0,0.0,0.0,87.0,0.0,,0.0,0.0,,,,,
200,CET-El Paso,El Paso,79907,,,1186101.0,1186101.0,698093.0,862.0,1198770.0,1189732.0,138.0,0.0,1.0,2.0,134.0,1.0,,0.0,0.0,1.0,9.0,13.0,15.0,
201,SAVANT TRAINING AND TECHNOLOGY,SAN ANTONIO,78207-5248,,,86699.0,86699.0,-307612.0,,576141.0,576141.0,66.0,0.0,0.0,0.0,63.0,0.0,,0.0,0.0,,,,,
202,Dolphin Technical Institute,Beaumont,77703,,,6600.0,-200.0,-236560.0,,64157.0,307317.0,122.0,0.0,15.0,40.0,3.0,64.0,,0.0,0.0,,,,,
203,International Beauty College 3,Garland,75040-329,,,387393.0,387393.0,284796.0,,387393.0,387393.0,99.0,0.0,73.0,0.0,0.0,0.0,,0.0,0.0,,,,,
204,Education Service Center-Region 2,Corpus Christi,78401,,,304350.0,304350.0,304350.0,,304350.0,304350.0,70.0,0.0,0.0,3.0,26.0,41.0,,0.0,0.0,2.0,18.0,0.0,21.0,
205,Texas College of Traditional Chinese Medicine,Austin,78704,,,566392.0,566392.0,547386.0,,520467.0,510979.0,65.0,0.0,15.0,0.0,5.0,44.0,,0.0,0.0,6.0,7.0,8.0,15.0,
206,TYLER INTERNATIONAL SCHOOL OF AVIATION,TYLER,75704-9232,,,,,,,,,,,,,,,,,,,,,,
207,Southern Careers Institute Inc,San Antonio,78212,,,800941.0,800941.0,181831.0,,826941.0,1424391.0,126.0,0.0,0.0,9.0,96.0,21.0,,0.0,0.0,,,,,
208,Southern Careers Institute 1 Inc,San Antonio,78212,,,1246389.0,1246389.0,339854.0,,1315267.0,2168214.0,151.0,0.0,4.0,25.0,98.0,24.0,,0.0,0.0,,,,,
209,Southern Careers Institute1 Inc.,San Antonio,78221,,,1405825.0,1404866.0,971798.0,,1404866.0,1405825.0,169.0,0.0,3.0,11.0,68.0,81.0,,0.0,6.0,1.0,16.0,30.0,30.0,
210,Southern Careers Institute-San Antonio,San Antonio,78221,,,8563013.0,8563013.0,5923419.0,,8563013.0,8563013.0,315.0,0.0,5.0,42.0,210.0,43.0,13.0,0.0,2.0,,,,,
211,Arlington Medical Institute,Arlington,76011,,,203430.0,203430.0,0.0,,593530.0,594718.0,82.0,0.0,0.0,17.0,0.0,48.0,,0.0,0.0,,,,,
212,Academy of Oriental Medicine,Austin,78757,,,919616.0,918616.0,918616.0,,1396640.0,1415225.0,107.0,0.0,5.0,0.0,6.0,95.0,,0.0,0.0,3.0,18.0,12.0,30.0,
