i_id,city,state,zip
9623,Bronx,NY,10458-5126
9624,Gretna,LA,70053
9625,New York,NY,10010
9626,Chicago,IL,60603
9627,Boston,MA,02115-559
9628,Livonia,MI,48152-269
9629,Kerrville,TX,78028-569
9630,Elmira,NY,14903-108
9631,Painted Post,NY,14870
9632,Pottsville,PA,17901
9633,Pottsville,PA,17901
9634,Frackville,PA,17931
9635,Frackville,PA,17931
9636,La Crosse,WI,54601
9637,Lucasville,OH,45648-0766
9638,Lucasville,OH,45648-076
9639,Saint Paul,MN,55119-700
9640,Plymouth,MN,55441
9641,Bloomington,MN,55420-423
9642,Boise,ID,83709
9643,Plymouth,MN,55441
9644,Bayamon,PR,961
9645,Wheeling,WV,26003
9646,Scottsdale,AZ,85256
9647,Scottsdale,AZ,85251-272
9648,Claremont,CA,91711-394
9650,Falmouth,MA,2540
9651,Evanston,IL,60201
9652,Sanford,ME,4073
9653,Sanford,ME,4073
9654,Searcy,AR,72143
9655,Seattle,WA,98122
9656,Seattle,WA,98103-359
9657,Seattle,WA,98106-149
9658,Seattle,WA,98115
9659,Seattle,WA,98105
9660,Seattle,WA,98119-199
9661,Seattle,WA,98122-434
9662,Seattle,WA,98144-221
9663,Houston,TX,77074-601
9664,Houston,TX,77083
9665,Huntsville,TX,77340
9667,New Braunfels,TX,78130
9668,New Braunfels,TX,78130
9669,Seguin,TX,78155
9671,Brooklyn,NY,11219
9672,San Juan,PR,925
9673,Huntington,NY,11743-162
9674,Sanford,FL,32773-619
9675,Seminole,OK,74868-190
9676,Sanford,FL,32773-6199
9678,Cape Girardeau,MO,63701
9679,Chesapeake,VA,23320
9680,Chesapeake,VA,23320
9682,Chicago,IL,60623
9683,Guayama,PR,785
9684,South Orange,NJ,07079-269
9685,Greensburg,PA,15601
9686,Warrensville Heights,OH,44128
9687,Sewanee,TN,37383-1000
9688,Sewanee,TN,37383-100
9689,Liberal,KS,67901
9690,Liberal,KS,67901
9691,Sewickley,PA,15143
9692,Seymour,MO,65746-8743
9693,Lawrence,NY,11559-171
9708,Sharon,PA,16146
9709,Flushing,MI,48433
9710,Redding,CA,96002
9711,Redding,CA,96002
9712,Redding,CA,96003
9713,Raleigh,NC,27601
9714,Shawnee,OK,74801
9715,Ullin,IL,62992
9716,Portsmouth,OH,45662
9717,Billerica,MA,01821-549
9718,Crossville,TN,38555
9719,Rochester,NY,14617
9720,Tampa,FL,33614
9721,Tampa,FL,33604
9722,Sitka,AK,99835-769
9723,Tuscaloosa,AL,35405-852
9724,Winchester,VA,22601-519
9726,Shepherdstown,WV,25443-321
9727,Cary,NC,27518-9316
9728,Sheridan,WY,82801
9729,Hollywood,FL,33021
9730,Spartanburg,SC,29316
9731,Salt Lake City,UT,84106
9732,Midvale,UT,84047
9733,Waukegan,IL,60079
9735,Shippensburg,PA,17257-229
9738,Point Pleasant,NJ,8742
9739,Pleasantville,NJ,8232
9740,Shoreline,WA,98133-569
9741,Rome,GA,30165
9742,Atlanta,GA,30339
9743,Rome,GA,30165
9744,Atlanta,GA,30339
9747,Hutchinson,KS,67501
9748,Beachwood,OH,44122
9749,Loudonville,NY,12211-146
9750,Adrian,MI,49221
9751,Rocklin,CA,95677
9752,Merced,CA,95340
9753,Incline Village,NV,89451
9754,Fresno,CA,93726
9755,Fresno,CA,93726
9756,Brockton,MA,02302-1905
9757,Sikeston,MO,63801
9758,San Jose,CA,95131
9759,Manitowoc,WI,54220-931
9760,Manitowoc,WI,54220-9319
9761,Simi Valley,CA,93065
9762,Boston,MA,02115-589
9763,Louisville,KY,40203-3322
9764,Syracuse,NY,13207
9766,Great Barrington,MA,01230-970
9767,Indianola,IA,50125
9768,Redding,CA,96003-860
9769,Dayton,OH,45402-146
9771,Mission,SD,57555-010
9772,Sioux Falls,SD,57105-1526
9773,Sioux Falls,SD,57117-503
9774,Agency Village,SD,57262
9775,Fort Yates,ND,58538-972
9776,Mount Vernon,WA,98273
9777,Saratoga Springs,NY,12866
9778,Skokie,IL,60077-2200
9779,Saint Louis,MO,63126
9780,Salt Lake City,UT,84115
9781,Salt Lake City,UT,84115
9782,San Bruno,CA,94066-169
9783,Richmond,VA,23236
9784,Roanoke,VA,24012
9785,Slippery Rock,PA,16057-138
9786,Northampton,MA,1063
9787,Boaz,AL,35957-073
9788,Ephraim,UT,84627
9790,Brea,CA,92821
9792,Baltimore,MD,21205-189
9793,Aliso Viejo,CA,92656-410
9794,Fairfield,CA,94534-319
9795,Chicago,IL,60604-2232
9796,Zarephath,NJ,08890-903
9797,Somerset,PA,15501
9798,Bridgewater,NJ,08807-035
9799,Piscataway,NJ,8854
9800,Petaluma,CA,94954
9801,Rohnert Park,CA,94928-360
9805,Alhambra,CA,91803
9806,El Dorado,AR,71731-701
9807,Anaheim,CA,92801-170
9808,Petersburg,WV,26847
9809,Orangeburg,SC,29117-000
9810,West Plains,MO,65775
9811,North Mankato,MN,56003-192
9815,Orange,CA,92868-261
9816,Knoxville,TN,37922-000
9817,Asheville,NC,28806
9818,Rapid City,SD,57701-399
9819,Brookings,SD,57007-189
9820,Deerfield Beach,FL,33441
9821,Avon Park,FL,33825-935
9822,Miami,FL,33125
9823,Douglas,GA,31533-509
9824,Americus,GA,31709
9825,Pittsburgh,PA,15216
9826,Pittsburgh,PA,15216
9827,State College,PA,16801-4516
9828,State College,PA,16801
9829,Houma,LA,70363
9830,Lafayette,LA,70506-203
9831,Phoenix,AZ,85040
9832,Polkton,NC,28135
9833,Levelland,TX,79336
9834,Olympia,WA,98512-629
9835,South Holland,IL,60473-120
9836,Corpus Christi,TX,78415
9837,McAllen,TX,78502-970
9838,Houston,TX,77002-700
9839,San Benito,TX,78586
9840,Weslaco,TX,78596
9841,Corpus Christi,TX,78416
9842,Brownsville,TX,78520
9843,Corpus Christi,TX,78416
9844,McAllen,TX,78501
9845,San Antonio,TX,78216
9846,Columbia,SC,29203-640
9847,Atlanta,GA,30328-6773
9848,Columbia,SC,29203
9849,Montgomery,AL,36116-112
9850,Novi,MI,48377-3103
9851,Savannah,GA,31406
9852,Tampa,FL,33614-7095
9853,Dallas,TX,75231-5993
9854,Fort Worth,TX,76116-4183
9855,Glen Allen,VA,23060
9856,Savannah,GA,31406
9857,Virginia Beach,VA,23452
9858,Pine Bluff,AR,71603
9859,Lincoln,NE,68510-244
9860,Bristol,VA,24201
9861,Cape Girardeau,MO,63703-450
9862,Cape Girardeau,MO,63703-4507
9863,Cape Girardeau,MO,63701-998
9864,Manchester,KY,40962-870
9865,Sioux Falls,SD,57107-130
9866,Silsbee,TX,77656
9868,Laurel,MS,39440-998
9869,Wake Forest,NC,27588-188
9870,Columbus,GA,31903
9871,Columbus,GA,31903
9872,Birmingham,AL,35244-208
9873,Chillicothe,OH,45601-103
9874,Nashville,TN,37212-531
9875,Midland,TX,79703
9876,Whiteville,NC,28472-542
9877,Harrisburg,IL,62946
9878,North Charleston,SC,29406
9879,Charlotte,NC,28217
9880,Columbia,SC,29210
9881,Hammond,LA,70402
