i_id,Institution,Location,Enrollment,Endowment (millions),Nickname,Conference,c_id
9819,South Dakota State University,"Brookings, South Dakota","11,405",,Jackrabbits,MVFC,1825
9927,Southern Illinois University Carbondale,"Carbondale, Illinois","11,366",,Salukis,MVFC,1825
12302,Western Illinois University,"Macomb, Illinois","7,490",,Leathernecks,MVFC,1825
12554,Youngstown State University,"Youngstown, Ohio","12,155",,Penguins,MVFC,1825
3461,Eastern Washington University,"Cheney, Washington","12,607",,Eagles,Big Sky Conference,1410
11355,University of Idaho,"Moscow, Idaho","11,814",,Vandals,Big Sky Conference,1410
5154,Idaho State University,"Pocatello, Idaho","12,805",,Bengals,Big Sky Conference,1410
10784,The University of Montana,"Missoula, Montana","10,104",,Grizzlies,Big Sky Conference,1410
7096,Montana State University,"Bozeman, Montana","16,766",,Bobcats,Big Sky Conference,1410
7773,Northern Arizona University,"Flagstaff, Arizona","22,791",,Lumberjacks,Big Sky Conference,1410
11507,University of Northern Colorado,"Greeley, Colorado","12,862",,Bears,Big Sky Conference,1410
8575,Portland State University,"Portland, Oregon","27,285",,Vikings,Big Sky Conference,1410
2038,California State University-Sacramento,"Sacramento, California","31,181",,Hornets,Big Sky Conference,1410
9951,Southern Utah University,"Cedar City, Utah","10,196",,Thunderbirds,Big Sky Conference,1410
12234,Weber State University,"Ogden, Utah","27,465",,Wildcats,Big Sky Conference,1410
2068,Campbell University,"Buies Creek, North Carolina","6,448",,Fighting Camels,Big South Conference,2489
2388,Charleston Southern University,"North Charleston, South Carolina","3,414",,Buccaneers,Big South Conference,2489
4234,Gardner-Webb University,"Boiling Springs, North Carolina","3,594",,Runnin' Bulldogs,Big South Conference,2489
4586,Hampton University,"Hampton, Virginia","4,321",,Pirates,Big South Conference,2489
4760,High Point University,"High Point, North Carolina","4,545",,Panthers,Big South Conference,2489
6222,Longwood University,"Farmville, Virginia","4,470",,Lancers,Big South Conference,2489
7689,North Carolina A & T State University,"Greensboro, North Carolina","12,753",,Aggies,Big South Conference,2489
8595,Presbyterian College,"Clinton, South Carolina","1,330",,Blue Hose,Big South Conference,2489
8836,Radford University,"Radford, Virginia","10,700",,Highlanders,Big South Conference,2489
11494,University of North Carolina at Asheville,"Asheville, North Carolina","3,762",,Bulldogs,Big South Conference,2489
11682,University of South Carolina-Upstate,"Spartanburg, South Carolina","6,000",,Spartans,Big South Conference,2489
12419,Winthrop University,"Rock Hill, South Carolina","6,073",,Eagles,Big South Conference,2489
2607,College of Charleston,"Charleston, South Carolina","10,783",$103 ,Cougars,CAA,8725
11293,University of Delaware,"Newark, Delaware","23,281","$1,450 ",Fightin' Blue Hens,CAA,8725
3032,Drexel University,"Philadelphia, Pennsylvania","22,412",$798 ,Dragons,CAA,8725
3542,Elon University,"Elon, North Carolina","6,991",$262 ,Phoenix,CAA,8725
4789,Hofstra University,"Hempstead, New York","10,871",$637 ,Pride,CAA,8725
5491,James Madison University,"Harrisonburg, Virginia","21,787",$117 ,Dukes,CAA,8725
7770,Northeastern University,"Boston, Massachusetts","21,627","$1,070 ",Huskies,CAA,8725
10898,Towson University,"Towson, Maryland","22,923",$88 ,Tigers,CAA,8725
11499,University of North Carolina at Wilmington,"Wilmington, North Carolina","17,499",$104 ,Seahawks,CAA,8725
2643,College of William and Mary,"Williamsburg, Virginia","8,817",$968 ,Tribe,CAA,8725
