University,State,World Ranking,National Ranking,Year,Coeficient
Arizona State University,AZ,101,46,2019,6
Baylor College of Medicine,TX,101,46,2019,6
Case Western Reserve University,OH,101,46,2019,6
Emory University,GA,101,46,2019,6
Georgia Institute of Technology,GA,101,46,2019,6
Michigan State University,MI,101,46,2019,6
"Rutgers, The State University of New Jersey - New Brunswick",NJ,101,46,2019,6
University of Arizona,AZ,101,46,2019,6
University of Utah,UT,101,46,2019,6
Arizona State University,AZ,101,42,2020,6
Brown University,RI,101,42,2020,6
Case Western Reserve University,OH,101,42,2020,6
Emory University,GA,101,42,2020,6
Georgia Institute of Technology,GA,101,42,2020,6
Michigan State University,MI,101,42,2020,6
Pennsylvania State University - University Park,PA,101,42,2020,6
Rice University,TX,101,42,2020,6
"Rutgers, The State University of New Jersey - New Brunswick",NJ,101,42,2020,6
University of Arizona,AZ,101,42,2020,6
University of Utah,UT,101,42,2020,6
Oregon State University,OR,151,62,2016,6
University of Delaware,DE,151,62,2016,6
University of Hawaii at Manoa,HI,151,62,2016,6
University of Iowa,IA,151,62,2016,6
University of Massachusetts Amherst,NE,151,62,2016,6
University of Miami,FL,151,62,2016,6
University of Virginia,VA,151,62,2016,6
Oregon State University,OR,151,61,2017,6
Tufts University,MA,151,61,2017,6
University of Delaware,DE,151,61,2017,6
University of Iowa,IA,151,61,2017,6
University of Massachusetts Amherst,NE,151,61,2017,6
University of Miami,FL,151,61,2017,6
University of Nebraska - Lincoln,MA,151,61,2017,6
University of Virginia,VA,151,61,2017,6
North Carolina State University - Raleigh,NC,151,59,2018,6
Oregon State University,OR,151,59,2018,6
Texas A&M University,TX,151,59,2018,6
Tufts University,MA,151,59,2018,6
University of Iowa,IA,151,59,2018,6
University of Massachusetts Amherst,NE,151,59,2018,6
University of Rochester,NY,151,59,2018,6
University of Virginia,VA,151,59,2018,6
Texas A&M University,TX,151,59,2019,6
Tufts University,MA,151,59,2019,6
University of Massachusetts Amherst,NE,151,59,2019,6
University of Missouri - Columbia,MS,151,59,2019,6
University of Rochester,NY,151,59,2019,6
University of Virginia,VA,151,59,2019,6
Baylor College of Medicine,TX,151,57,2020,6
Texas A&M University,TX,151,57,2020,6
Tufts University,MA,151,57,2020,6
University of Massachusetts Amherst,NE,151,57,2020,6
University of Missouri - Columbia,MS,151,57,2020,6
University of Rochester,NY,151,57,2020,6
University of Virginia,VA,151,57,2020,6
Brandeis University,MA,201,72,2016,5
Colorado State University,CO,201,72,2016,5
Dartmouth College,NH,201,72,2016,5
Florida State University,FL,201,72,2016,5
George Mason University,VA,201,72,2016,5
Iowa State University,IA,201,72,2016,5
Medical University of South Carolina,SC,201,72,2016,5
North Carolina State University - Raleigh,NC,201,72,2016,5
Northeastern University,MA,201,72,2016,5
Stony Brook University,NY,201,72,2016,5
The University of New Mexico - Albuquerque,NM,201,72,2016,5
University of Alabama at Birmingham,AL,201,72,2016,5
University of Cincinnati,OH,201,72,2016,5
University of Houston,TX,201,72,2016,5
University of Illinois at Chicago,IL,201,72,2016,5
University of Kansas,KS,201,72,2016,5
University of Missouri - Columbia,MS,201,72,2016,5
University of Nebraska - Lincoln,MA,201,72,2016,5
University of Notre Dame,IN,201,72,2016,5
University of South Florida,FL,201,72,2016,5
Virginia Commonwealth University,VA,201,72,2016,5
Yeshiva University,NY,201,72,2016,5
Colorado State University,CO,201,71,2017,5
Dartmouth College,NH,201,71,2017,5
Florida State University,FL,201,71,2017,5
George Mason University,VA,201,71,2017,5
Georgetown University,DC,201,71,2017,5
Iowa State University,IA,201,71,2017,5
Medical University of South Carolina,SC,201,71,2017,5
North Carolina State University - Raleigh,NC,201,71,2017,5
Stony Brook University,NY,201,71,2017,5
University of Alabama at Birmingham,AL,201,71,2017,5
University of Hawaii at Manoa,HI,201,71,2017,5
University of Houston,TX,201,71,2017,5
University of Illinois at Chicago,IL,201,71,2017,5
University of Kansas,KS,201,71,2017,5
University of Missouri - Columbia,MS,201,71,2017,5
University of Notre Dame,IN,201,71,2017,5
University of Oregon,OR,201,71,2017,5
University of South Florida,FL,201,71,2017,5
University of Tennessee - Knoxville,TN,201,71,2017,5
Virginia Commonwealth University,VA,201,71,2017,5
Yeshiva University,NY,201,71,2017,5
Brandeis University,MA,201,70,2018,5
Colorado State University,CO,201,70,2018,5
Dartmouth College,NH,201,70,2018,5
Florida State University,FL,201,70,2018,5
George Mason University,VA,201,70,2018,5
Georgetown University,DC,201,70,2018,5
Iowa State University,IA,201,70,2018,5
University of Alabama at Birmingham,AL,201,70,2018,5
University of Delaware,DE,201,70,2018,5
University of Hawaii at Manoa,HI,201,70,2018,5
University of Houston,TX,201,70,2018,5
University of Illinois at Chicago,IL,201,70,2018,5
University of Kansas,KS,201,70,2018,5
University of Miami,FL,201,70,2018,5
University of Missouri - Columbia,MS,201,70,2018,5
University of Nebraska - Lincoln,MA,201,70,2018,5
University of Notre Dame,IN,201,70,2018,5
University of South Florida,FL,201,70,2018,5
University of Tennessee - Knoxville,TN,201,70,2018,5
Virginia Commonwealth University,VA,201,70,2018,5
Virginia Polytechnic Institute and State University,VA,201,70,2018,5
Colorado State University,CO,201,67,2019,5
Florida State University,FL,201,67,2019,5
George Mason University,VA,201,67,2019,5
Iowa State University,IA,201,67,2019,5
North Carolina State University - Raleigh,NC,201,67,2019,5
Oregon State University,OR,201,67,2019,5
Stony Brook University,NY,201,67,2019,5
University of Alabama at Birmingham,AL,201,67,2019,5
University of Connecticut,CT,201,67,2019,5
University of Delaware,DE,201,67,2019,5
University of Hawaii at Manoa,HI,201,67,2019,5
University of Houston,TX,201,67,2019,5
University of Illinois at Chicago,IL,201,67,2019,5
University of Iowa,IA,201,67,2019,5
University of Kansas,KS,201,67,2019,5
University of Miami,FL,201,67,2019,5
University of Nebraska - Lincoln,MA,201,67,2019,5
University of South Florida,FL,201,67,2019,5
University of Tennessee - Knoxville,TN,201,67,2019,5
Virginia Commonwealth University,VA,201,67,2019,5
Virginia Polytechnic Institute and State University,VA,201,67,2019,5
Yeshiva University,NY,201,67,2019,5
Colorado State University,CO,201,66,2020,5
Dartmouth College,NH,201,66,2020,5
Florida State University,FL,201,66,2020,5
George Mason University,VA,201,66,2020,5
Georgetown University,DC,201,66,2020,5
Iowa State University,IA,201,66,2020,5
North Carolina State University - Raleigh,NC,201,66,2020,5
Oregon State University,OR,201,66,2020,5
Stony Brook University,NY,201,66,2020,5
University of Cincinnati,OH,201,66,2020,5
University of Connecticut,CT,201,66,2020,5
University of Delaware,DE,201,66,2020,5
University of Houston,TX,201,66,2020,5
University of Illinois at Chicago,IL,201,66,2020,5
University of Iowa,IA,201,66,2020,5
University of Kansas,KS,201,66,2020,5
University of Miami,FL,201,66,2020,5
University of Nebraska - Lincoln,MA,201,66,2020,5
University of South Florida,FL,201,66,2020,5
University of Tennessee - Knoxville,TN,201,66,2020,5
Virginia Commonwealth University,VA,201,66,2020,5
Virginia Polytechnic Institute and State University,VA,201,66,2020,5
Yeshiva University,NY,201,66,2020,5
Boston College,MA,301,99,2016,5
Georgetown University,DC,301,99,2016,5
Louisiana State University - Baton Rouge,LA,301,99,2016,5
Rush University,IL,301,99,2016,5
Temple University,PA,301,99,2016,5
Thomas Jefferson University,PA,301,99,2016,5
University of Connecticut,CT,301,99,2016,5
University of Kentucky,KY,301,99,2016,5
University of North Texas,TX,301,99,2016,5
University of Oregon,OR,301,99,2016,5
University of South Carolina - Columbia,SC,301,99,2016,5
University of Tennessee - Knoxville,TN,301,99,2016,5
University of Vermont,VT,301,99,2016,5
Virginia Polytechnic Institute and State University,VA,301,99,2016,5
Wayne State University,MI,301,99,2016,5
Boston College,MA,301,100,2017,5
Brandeis University,MA,301,100,2017,5
Brigham Young University,UT,301,100,2017,5
Louisiana State University - Baton Rouge,LA,301,100,2017,5
Temple University,PA,301,100,2017,5
The University of New Mexico - Albuquerque,NM,301,100,2017,5
University of Central Florida,FL,301,100,2017,5
University of Cincinnati,OH,301,100,2017,5
University of Connecticut,CT,301,100,2017,5
University of Kentucky,KY,301,100,2017,5
University of Manitoba,Canada,301,12,2017,5
University of North Texas,TX,301,100,2017,5
University of South Carolina - Columbia,SC,301,100,2017,5
University of Vermont,VT,301,100,2017,5
Virginia Polytechnic Institute and State University,VA,301,100,2017,5
Wayne State University,MI,301,100,2017,5
Boston College,MA,301,96,2018,5
Louisiana State University - Baton Rouge,LA,301,96,2018,5
Medical University of South Carolina,SC,301,96,2018,5
Stony Brook University,NY,301,96,2018,5
Temple University,PA,301,96,2018,5
The University of New Mexico - Albuquerque,NM,301,96,2018,5
University of Central Florida,FL,301,96,2018,5
University of Cincinnati,OH,301,96,2018,5
University of Connecticut,CT,301,96,2018,5
University of Kentucky,KY,301,96,2018,5
University of Manitoba,Canada,301,13,2018,5
University of North Texas,TX,301,96,2018,5
University of Oregon,OR,301,96,2018,5
University of South Carolina - Columbia,SC,301,96,2018,5
University of Vermont,VT,301,96,2018,5
Washington State University,WA,301,96,2018,5
Yeshiva University,NY,301,96,2018,5
Brandeis University,MA,301,95,2019,5
Dartmouth College,NH,301,95,2019,5
Georgetown University,DC,301,95,2019,5
Kansas State University,KS,301,95,2019,5
Louisiana State University - Baton Rouge,LA,301,95,2019,5
Rensselaer Polytechnic Institute,NY,301,95,2019,5
Temple University,PA,301,95,2019,5
The University of New Mexico - Albuquerque,NM,301,95,2019,5
University of Central Florida,FL,301,95,2019,5
University of Cincinnati,OH,301,95,2019,5
University of Kentucky,KY,301,95,2019,5
University of Manitoba,Canada,301,13,2019,5
University of Notre Dame,IN,301,95,2019,5
University of Oregon,OR,301,95,2019,5
University of South Carolina - Columbia,SC,301,95,2019,5
University of Vermont,VT,301,95,2019,5
Washington State University,WA,301,95,2019,5
Brandeis University,MA,301,95,2020,5
Louisiana State University - Baton Rouge,LA,301,95,2020,5
Medical University of South Carolina,SC,301,95,2020,5
Temple University,PA,301,95,2020,5
The University of New Mexico - Albuquerque,NM,301,95,2020,5
University of Alabama at Birmingham,AL,301,95,2020,5
University of Central Florida,FL,301,95,2020,5
University of Hawaii at Manoa,HI,301,95,2020,5
University of Kentucky,KY,301,95,2020,5
University of Manitoba,Canada,301,13,2020,5
University of Notre Dame,IN,301,95,2020,5
University of Oregon,OR,301,95,2020,5
University of South Carolina - Columbia,SC,301,95,2020,5
University of Vermont,VT,301,95,2020,5
Washington State University,WA,301,95,2020,5
Brigham Young University,UT,401,120,2016,4
Florida International University,FL,401,120,2016,4
Oklahoma State University,OK,401,120,2016,4
Rensselaer Polytechnic Institute,NY,401,120,2016,4
San Diego State University,CA,401,120,2016,4
Texas Tech University,TX,401,120,2016,4
University of Central Florida,FL,401,120,2016,4
University of Manitoba,Canada,401,17,2016,4
University of Wyoming,WY,401,120,2016,4
Utah State University,UT,401,120,2016,4
Wake Forest University,NC,401,120,2016,4
Washington State University,WA,401,120,2016,4
West Virginia University,WV,401,120,2016,4
Concordia University,OR,401,18,2017,4
Florida International University,FL,401,120,2017,4
New Mexico State University,NM,401,120,2017,4
Northwest University,WA,401,34,2017,4
Oklahoma State University,OK,401,120,2017,4
Rush University,IL,401,120,2017,4
Thomas Jefferson University,PA,401,120,2017,4
University of Oklahoma - Norman,OK,401,120,2017,4
University of Wyoming,WY,401,120,2017,4
Washington State University,WA,401,120,2017,4
West Virginia University,WV,401,120,2017,4
Brigham Young University,UT,401,118,2018,4
Florida International University,FL,401,118,2018,4
Kansas State University,KS,401,118,2018,4
Mississippi State University,MS,401,118,2018,4
Oklahoma State University,OK,401,118,2018,4
Rush University,IL,401,118,2018,4
Texas Tech University,TX,401,118,2018,4
Thomas Jefferson University,PA,401,118,2018,4
University of Maine,ME,401,118,2018,4
University of Oklahoma - Norman,OK,401,118,2018,4
University of Wisconsin-Milwaukee,WI,401,118,2018,4
University of Wyoming,WY,401,118,2018,4
Utah State University,UT,401,118,2018,4
Wayne State University,MI,401,118,2018,4
West Virginia University,WV,401,118,2018,4
Boston College,MA,401,117,2019,4
Brigham Young University,UT,401,117,2019,4
Clemson University,SC,401,117,2019,4
Florida International University,FL,401,117,2019,4
Medical University of South Carolina,SC,401,117,2019,4
Thomas Jefferson University,PA,401,117,2019,4
Tulane University,LA,401,117,2019,4
University of North Texas,TX,401,117,2019,4
University of Oklahoma - Norman,OK,401,117,2019,4
University of Wyoming,WY,401,117,2019,4
Utah State University,UT,401,117,2019,4
Wake Forest University,NC,401,117,2019,4
Wayne State University,MI,401,117,2019,4
West Virginia University,WV,401,117,2019,4
Brigham Young University,UT,401,115,2020,4
Florida International University,FL,401,115,2020,4
Georgia State University,GA,401,115,2020,4
Kansas State University,KS,401,115,2020,4
Rensselaer Polytechnic Institute,NY,401,115,2020,4
San Diego State University,CA,401,115,2020,4
Texas Tech University,TX,401,115,2020,4
