University,State,Zip Code,World Ranking,National Ranking,Year,Coeficient
Purdue University - West Lafayette,IN,47907,70,34,2018,7
Purdue University - West Lafayette,IN,47907,72,35,2019,7
Purdue University - West Lafayette,IN,47907,79,36,2020,7
Rensselaer Polytechnic Institute,NY,12180-359,401,120,2016,4
Rensselaer Polytechnic Institute,NY,12180-359,301,95,2019,5
Rensselaer Polytechnic Institute,NY,12180-359,401,115,2020,4
Rice University,TX,77005,72,38,2016,7
Rice University,TX,77005,74,37,2017,7
Rice University,TX,77005,70,34,2018,7
Rice University,TX,77005,95,41,2019,7
Rice University,TX,77005,101,42,2020,6
Rockefeller University,NY,10021-639,37,26,2016,8
Rockefeller University,NY,10021-639,36,25,2017,8
Rockefeller University,NY,10021-639,30,22,2018,8
Rockefeller University,NY,10021-639,35,24,2019,8
Rockefeller University,NY,10021-639,43,26,2020,8
Rush University,IL,60612,301,99,2016,5
Rush University,IL,60612,401,120,2017,4
Rush University,IL,60612,401,118,2018,4
Rush University,IL,60612,501,138,2019,4
Rush University,IL,60612,501,134,2020,4
"Rutgers, The State University of New Jersey - New Brunswick",NJ,8854,96,48,2016,7
"Rutgers, The State University of New Jersey - New Brunswick",NJ,8854,79,39,2017,7
"Rutgers, The State University of New Jersey - New Brunswick",NJ,8854,101,47,2018,6
"Rutgers, The State University of New Jersey - New Brunswick",NJ,8854,101,46,2019,6
"Rutgers, The State University of New Jersey - New Brunswick",NJ,8854,101,42,2020,6
San Diego State University,CA,92182,401,120,2016,4
San Diego State University,CA,92182,501,138,2019,4
San Diego State University,CA,92182,401,115,2020,4
South Dakota State University,SD,57007-189,801,182,2020,3
Southern Methodist University,TX,75275-022,501,138,2019,4
Southern Methodist University,TX,75275-022,501,134,2020,4
Stanford University,CA,94305,2,2,2016,10
Stanford University,CA,94305,2,2,2017,10
Stanford University,CA,94305,2,2,2018,10
Stanford University,CA,94305,2,2,2019,10
Stanford University,CA,94305,2,2,2020,10
Stevens Institute of Technology,NJ,07030-599,701,172,2019,4
