"institution","wranking","nranking","year","city","state","zip"
"University of Delaware",201,70,2018,"Newark","DE","19716"
"Virginia Polytechnic Institute and State University",201,70,2018,"Blacksburg","VA","24061-013"
"Virginia Commonwealth University",201,70,2018,"Richmond","VA","23284-251"
"University of Notre Dame",201,70,2018,"Notre Dame","IN","46556"
"Iowa State University",201,70,2018,"Ames","IA","50011"
"Georgetown University",201,70,2018,"Washington","DC","20057"
"University of South Florida",201,70,2018,"Tampa","FL","33620-995"
"University of Kansas",201,70,2018,"Lawrence","KS","66045"
"University of Hawaii at Manoa",201,70,2018,"Honolulu","HI","96822-230"
"University of Houston",201,70,2018,"Houston","TX","77204-201"
"Dartmouth College",201,70,2018,"Hanover","NH","03755-352"
"University of Illinois at Chicago",201,70,2018,"Chicago","IL","60607"
"Florida State University",201,70,2018,"Tallahassee","FL","32306-103"
"Iowa State University",201,67,2019,"Ames","IA","50011"
"University of South Florida",201,67,2019,"Tampa","FL","33620-995"
"George Mason University",201,67,2019,"Fairfax","VA","22030-444"
"Florida State University",201,67,2019,"Tallahassee","FL","32306-103"
"Oregon State University",201,67,2019,"Corvallis","OR","97331"
"University of Miami",201,67,2019,"Coral Gables","FL","33124"
"Colorado State University",201,67,2019,"Fort Collins","CO","80523-010"
"Virginia Commonwealth University",201,67,2019,"Richmond","VA","23284-251"
"University of Kansas",201,67,2019,"Lawrence","KS","66045"
"University of Iowa",201,67,2019,"Iowa City","IA","52242-131"
"Stony Brook University",201,67,2019,"Stony Brook","NY","11794"
"University of Illinois at Chicago",201,67,2019,"Chicago","IL","60607"
"University of Houston",201,67,2019,"Houston","TX","77204-201"
"Virginia Polytechnic Institute and State University",201,67,2019,"Blacksburg","VA","24061-013"
"University of Hawaii at Manoa",201,67,2019,"Honolulu","HI","96822-230"
"University of Alabama at Birmingham",201,67,2019,"Birmingham","AL","35294-011"
"University of Delaware",201,67,2019,"Newark","DE","19716"
"Yeshiva University",201,67,2019,"New York","NY","10033-329"
"University of Connecticut",201,67,2019,"Storrs","CT","6269"
"Georgetown University",201,66,2020,"Washington","DC","20057"
"Iowa State University",201,66,2020,"Ames","IA","50011"
"University of Miami",201,66,2020,"Coral Gables","FL","33124"
"Oregon State University",201,66,2020,"Corvallis","OR","97331"
"University of Delaware",201,66,2020,"Newark","DE","19716"
"Dartmouth College",201,66,2020,"Hanover","NH","03755-352"
"University of Illinois at Chicago",201,66,2020,"Chicago","IL","60607"
"Florida State University",201,66,2020,"Tallahassee","FL","32306-103"
"University of Houston",201,66,2020,"Houston","TX","77204-201"
"Virginia Polytechnic Institute and State University",201,66,2020,"Blacksburg","VA","24061-013"
"University of Iowa",201,66,2020,"Iowa City","IA","52242-131"
"University of Kansas",201,66,2020,"Lawrence","KS","66045"
"University of Connecticut",201,66,2020,"Storrs","CT","6269"
"George Mason University",201,66,2020,"Fairfax","VA","22030-444"
"Stony Brook University",201,66,2020,"Stony Brook","NY","11794"
"Virginia Commonwealth University",201,66,2020,"Richmond","VA","23284-251"
"Colorado State University",201,66,2020,"Fort Collins","CO","80523-010"
"University of South Florida",201,66,2020,"Tampa","FL","33620-995"
"Yeshiva University",201,66,2020,"New York","NY","10033-329"
"Georgetown University",301,99,2016,"Washington","DC","20057"
"Thomas Jefferson University",301,99,2016,"Philadelphia","PA","19107"
"University of Connecticut",301,99,2016,"Storrs","CT","6269"
"Virginia Polytechnic Institute and State University",301,99,2016,"Blacksburg","VA","24061-013"
"University of Kentucky",301,99,2016,"Lexington","KY","40506-003"
"Rush University",301,99,2016,"Chicago","IL","60612"
"Boston College",301,99,2016,"Chestnut Hill","MA","2467"
"University of Vermont",301,99,2016,"Burlington","VT","05405-016"
