"player_id","pick","year","t_name","c_name","state"
389,31,2017,"The University of Alabama","SEC","AL"
648,31,2018,"University of Georgia","SEC","GA"
910,31,2019,"University of Washington","PAC-12","WA"
910,31,2019,"University of Washington","PAC-12","WA"
910,31,2019,"University of Washington","PAC-12","WA"
910,31,2019,"University of Washington","PAC-12","WA"
910,31,2019,"University of Washington","PAC-12","WA"
911,32,2019,"Arizona State University","PAC-12","AZ"
1171,32,2020,"Louisiana State University - Baton Rouge","SEC","LA"
132,32,2016,"Oklahoma State University","Big 12","OK"
649,32,2018,"University of Louisville","ACC","KY"
390,32,2017,"University of Wisconsin - Madison","Big Ten","WI"
133,33,2016,"Clemson University","ACC","SC"
1173,33,2020,"Clemson University","ACC","SC"
651,33,2018,"University of Nevada-Reno","MW","NV"
913,33,2019,"University of Washington","PAC-12","WA"
913,33,2019,"University of Washington","PAC-12","WA"
392,33,2017,"University of Washington","PAC-12","WA"
392,33,2017,"University of Washington","PAC-12","WA"
392,33,2017,"University of Washington","PAC-12","WA"
392,33,2017,"University of Washington","PAC-12","WA"
392,33,2017,"University of Washington","PAC-12","WA"
913,33,2019,"University of Washington","PAC-12","WA"
913,33,2019,"University of Washington","PAC-12","WA"
913,33,2019,"University of Washington","PAC-12","WA"
914,34,2019,"Temple University","AAC","PA"
393,34,2017,"The University of Alabama","SEC","AL"
134,34,2016,"University of Notre Dame","ACC","IN"
1174,34,2020,"University of South Carolina","SEC","SC"
652,34,2018,"University of Texas at El Paso","C-USA","TX"
652,34,2018,"University of Texas at El Paso","C-USA","TX"
652,34,2018,"University of Texas at El Paso","C-USA","TX"
652,34,2018,"University of Texas at El Paso","C-USA","TX"
915,35,2019,"Florida State University","ACC","FL"
394,35,2017,"Michigan State University","Big Ten","MI"
135,35,2016,"University of Arkansas","SEC","AR"
1175,35,2020,"University of Georgia","SEC","GA"
653,35,2018,"University of Georgia","SEC","GA"
654,36,2018,"South Carolina State University","MEAC","SC"
1176,36,2020,"The University of Alabama","SEC","AL"
136,36,2016,"University of California, Los Angeles","PAC-12","CA"
136,36,2016,"University of California, Los Angeles","PAC-12","CA"
136,36,2016,"University of California, Los Angeles","PAC-12","CA"
916,36,2019,"University of South Carolina","SEC","SC"
395,36,2017,"University of Washington","PAC-12","WA"
395,36,2017,"University of Washington","PAC-12","WA"
395,36,2017,"University of Washington","PAC-12","WA"
395,36,2017,"University of Washington","PAC-12","WA"
395,36,2017,"University of Washington","PAC-12","WA"
655,37,2018,"Auburn University","SEC","AL"
396,37,2017,"East Carolina University","AAC","NC"
137,37,2016,"Mississippi State University","SEC","MS"
917,37,2019,"University of Mississippi","SEC","MS"
138,38,2016,"Baylor University","Big 12","TX"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
1178,38,2020,"Pennsylvania State University","Big Ten","PA"
918,38,2019,"University of Oklahoma","Big 12","OK"
918,38,2019,"University of Oklahoma","Big 12","OK"
918,38,2019,"University of Oklahoma","Big 12","OK"
918,38,2019,"University of Oklahoma","Big 12","OK"
656,38,2018,"University of South Carolina","SEC","SC"
397,38,2017,"Western Kentucky University","C-USA","KY"
919,39,2019,"Central Michigan University","MAC","MI"
139,39,2016,"Eastern Kentucky University","ASUN","LA"
139,39,2016,"Eastern Kentucky University","OVC","LA"
139,39,2016,"Eastern Kentucky University","ASUN","LA"
139,39,2016,"Eastern Kentucky University","OVC","LA"
398,39,2017,"Florida State University","ACC","FL"
657,39,2018,"University of Iowa","Big Ten","IA"
1179,39,2020,"University of Louisiana at Lafayette","SBC","LA"
920,40,2019,"Clemson University","ACC","SC"
399,40,2017,"Ohio State University","Big Ten","OH"
658,40,2018,"Southern Methodist University","AAC","TX"
1180,40,2020,"Texas Christian University","Big 12","TX"
140,40,2016,"University of Oklahoma","Big 12","OK"
140,40,2016,"University of Oklahoma","Big 12","OK"
140,40,2016,"University of Oklahoma","Big 12","OK"
140,40,2016,"University of Oklahoma","Big 12","OK"
659,41,2018,"Boston College","ACC","MA"
400,41,2017,"Florida State University","ACC","FL"
921,41,2019,"Kansas State University","Big 12","KS"
141,41,2016,"The University of Alabama","SEC","AL"
1181,41,2020,"University of Wisconsin - Madison","Big Ten","WI"
142,42,2016,"Boise State University","MW","ID"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
660,42,2018,"Pennsylvania State University","Big Ten","PA"
1182,42,2020,"University of Colorado Boulder","PAC-12","CO"
922,42,2019,"University of Missouri","SEC","MS"
401,42,2017,"University of Utah","PAC-12","UT"
661,43,2018,"Auburn University","SEC","AL"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
143,43,2016,"Pennsylvania State University","Big Ten","PA"
1183,43,2020,"University of Notre Dame","ACC","IN"
402,43,2017,"University of Washington","PAC-12","WA"
402,43,2017,"University of Washington","PAC-12","WA"
402,43,2017,"University of Washington","PAC-12","WA"
402,43,2017,"University of Washington","PAC-12","WA"
402,43,2017,"University of Washington","PAC-12","WA"
1184,44,2020,"Louisiana State University - Baton Rouge","SEC","LA"
924,44,2019,"Mississippi State University","SEC","MS"
144,44,2016,"University of Illinois at Urbana-Champaign","Big Ten","IL"
144,44,2016,"University of Illinois at Urbana-Champaign","Big Ten","IL"
144,44,2016,"University of Illinois at Urbana-Champaign","Big Ten","IL"
144,44,2016,"University of Illinois at Urbana-Champaign","Big Ten","IL"
403,44,2017,"University of South Alabama","SBC","AL"
662,44,2018,"University of Washington","PAC-12","WA"
662,44,2018,"University of Washington","PAC-12","WA"
662,44,2018,"University of Washington","PAC-12","WA"
662,44,2018,"University of Washington","PAC-12","WA"
662,44,2018,"University of Washington","PAC-12","WA"
145,45,2016,"The University of Alabama","SEC","AL"
663,45,2018,"University of Iowa","Big Ten","IA"
1185,45,2020,"University of Minnesota, Twin Cities","Big Ten","MN"
925,45,2019,"Vanderbilt University","SEC","TN"
405,46,2017,"Florida State University","ACC","FL"
926,46,2019,"Louisiana State University - Baton Rouge","SEC","LA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
1186,46,2020,"Pennsylvania State University","Big Ten","PA"
