player_id,Pick,Round,Year,College,Conference,State,Coeficient
648,31,1,2018,University of Georgia,SEC,GA,8
910,31,1,2019,University of Washington,PAC-12,WA,8
1170,31,1,2020,Texas Christian University,Big 12,TX,8
132,32,2,2016,Oklahoma State University,Big 12,OK,8
390,32,1,2017,University of Wisconsin - Madison,Big Ten,WI,8
649,32,1,2018,University of Louisville,ACC,KY,8
911,32,1,2019,Arizona State University,PAC-12,AZ,8
1171,32,1,2020,Louisiana State University - Baton Rouge,SEC,LA,8
133,33,2,2016,Clemson University,ACC,SC,7
392,33,2,2017,University of Washington,PAC-12,WA,7
651,33,2,2018,University of Nevada-Reno,MW,NV,7
913,33,2,2019,University of Washington,PAC-12,WA,7
1173,33,2,2020,Clemson University,ACC,SC,7
134,34,2,2016,University of Notre Dame,ACC,IN,7
393,34,2,2017,The University of Alabama,SEC,AL,7
652,34,2,2018,University of Texas at El Paso,C-USA,TX,7
914,34,2,2019,Temple University,AAC,PA,7
1174,34,2,2020,University of South Carolina,SEC,SC,7
135,35,2,2016,University of Arkansas,SEC,AR,7
394,35,2,2017,Michigan State University,Big Ten,MI,7
653,35,2,2018,University of Georgia,SEC,GA,7
915,35,2,2019,Florida State University,ACC,FL,7
1175,35,2,2020,University of Georgia,SEC,GA,7
136,36,2,2016,"University of California, Los Angeles",PAC-12,CA,7
395,36,2,2017,University of Washington,PAC-12,WA,7
654,36,2,2018,South Carolina State University,MEAC,SC,7
916,36,2,2019,University of South Carolina,SEC,SC,7
1176,36,2,2020,The University of Alabama,SEC,AL,7
137,37,2,2016,Mississippi State University,SEC,MS,7
396,37,2,2017,East Carolina University,AAC,NC,7
655,37,2,2018,Auburn University,SEC,AL,7
917,37,2,2019,University of Mississippi,SEC,MS,7
138,38,2,2016,Baylor University,Big 12,TX,7
397,38,2,2017,Western Kentucky University,C-USA,KY,7
656,38,2,2018,University of South Carolina,SEC,SC,7
918,38,2,2019,University of Oklahoma,Big 12,OK,7
1178,38,2,2020,Pennsylvania State University,Big Ten,PA,7
139,39,2,2016,Eastern Kentucky University,ASUN,LA,7
139,39,2,2016,Eastern Kentucky University,OVC,LA,7
398,39,2,2017,Florida State University,ACC,FL,7
657,39,2,2018,University of Iowa,Big Ten,IA,7
919,39,2,2019,Central Michigan University,MAC,MI,7
1179,39,2,2020,University of Louisiana at Lafayette,SBC,LA,7
140,40,2,2016,University of Oklahoma,Big 12,OK,7
399,40,2,2017,Ohio State University,Big Ten,OH,7
658,40,2,2018,Southern Methodist University,AAC,TX,7
920,40,2,2019,Clemson University,ACC,SC,7
1180,40,2,2020,Texas Christian University,Big 12,TX,7
141,41,2,2016,The University of Alabama,SEC,AL,7
400,41,2,2017,Florida State University,ACC,FL,7
659,41,2,2018,Boston College,ACC,MA,7
921,41,2,2019,Kansas State University,Big 12,KS,7
1181,41,2,2020,University of Wisconsin - Madison,Big Ten,WI,7
142,42,2,2016,Boise State University,MW,ID,7
401,42,2,2017,University of Utah,PAC-12,UT,7
660,42,2,2018,Pennsylvania State University,Big Ten,PA,7
922,42,2,2019,University of Missouri,SEC,MS,7
1182,42,2,2020,University of Colorado Boulder,PAC-12,CO,7
143,43,2,2016,Pennsylvania State University,Big Ten,PA,7
402,43,2,2017,University of Washington,PAC-12,WA,7
661,43,2,2018,Auburn University,SEC,AL,7
1183,43,2,2020,University of Notre Dame,ACC,IN,7
144,44,2,2016,University of Illinois at Urbana-Champaign,Big Ten,IL,7
403,44,2,2017,University of South Alabama,SBC,AL,7
662,44,2,2018,University of Washington,PAC-12,WA,7
924,44,2,2019,Mississippi State University,SEC,MS,7
1184,44,2,2020,Louisiana State University - Baton Rouge,SEC,LA,7
145,45,2,2016,The University of Alabama,SEC,AL,7
663,45,2,2018,University of Iowa,Big Ten,IA,7
925,45,2,2019,Vanderbilt University,SEC,TN,7
1185,45,2,2020,"University of Minnesota, Twin Cities",Big Ten,MN,7
146,46,2,2016,The University of Alabama,SEC,AL,7
405,46,2,2017,Florida State University,ACC,FL,7
664,46,2,2018,University of Mississippi,SEC,MS,7
926,46,2,2019,Louisiana State University - Baton Rouge,SEC,LA,7
1186,46,2,2020,Pennsylvania State University,Big Ten,PA,7
147,47,2,2016,Ohio State University,Big Ten,OH,7
406,47,2,2017,University of Houston,AAC,TX,7
665,47,2,2018,Texas A&M University,SEC,TX,7
927,47,2,2019,University of Utah,PAC-12,UT,7
1187,47,2,2020,Auburn University,SEC,AL,7
148,48,2,2016,Indiana State University,MVFC,IN,7
407,48,2,2017,University of Oklahoma,Big 12,OK,7
666,48,2,2018,University of South Carolina,SEC,SC,7
928,48,2,2019,Texas A&M University,SEC,TX,7
1188,48,2,2020,University of Tennessee,SEC,TN,7
149,49,2,2016,The University of Alabama,SEC,AL,6
408,49,2,2017,The University of Alabama,SEC,AL,6
667,49,2,2018,South Dakota State University,MVFC,SD,6
929,49,2,2019,Texas Christian University,Big 12,TX,6
1189,49,2,2020,University of Notre Dame,ACC,IN,6
150,50,2,2016,University of Notre Dame,ACC,IN,6
409,50,2,2017,Texas A&M University,SEC,TX,6
668,50,2,2018,The University of Texas at Austin,Big 12,TX,6
930,50,2,2019,The University of Alabama,SEC,AL,6
1190,50,2,2020,University of Utah,PAC-12,UT,6
151,51,2,2016,Pennsylvania State University,Big Ten,PA,6
410,51,2,2017,Florida State University,ACC,FL,6
669,51,2,2018,University of Memphis,AAC,TN,6
931,51,2,2019,University of Mississippi,SEC,MS,6
1191,51,2,2020,The University of Alabama,SEC,AL,6
152,52,2,2016,Louisiana State University - Baton Rouge,SEC,LA,6
411,52,2,2017,University of Notre Dame,ACC,IN,6
670,52,2,2018,Rutgers University,Big Ten,NJ,6
932,52,2,2019,University of Washington,PAC-12,WA,6
1192,52,2,2020,Florida State University,ACC,FL,6
153,53,2,2016,University of South Carolina,SEC,SC,6
412,53,2,2017,Florida State University,ACC,FL,6
671,53,2,2018,University of North Carolina at Greensboro,SoCon,NC,6
933,53,2,2019,Pennsylvania State University,Big Ten,PA,6
1193,53,2,2020,University of Oklahoma,Big 12,OK,6
154,54,2,2016,Clemson University,ACC,SC,6
413,54,2,2017,Ohio State University,Big Ten,OH,6
672,54,2,2018,Wake Forest University,ACC,NC,6
934,54,2,2019,University of Kentucky,SEC,KY,6
1194,54,2,2020,University of Iowa,Big Ten,IA,6
155,55,2,2016,University of Pittsburgh,ACC,PA,6
414,55,2,2017,The University of Alabama,SEC,AL,6
673,55,2,2018,Louisiana State University - Baton Rouge,SEC,LA,6
935,55,2,2019,Northern Illinois University,MAC,IL,6
1195,55,2,2020,Ohio State University,Big Ten,OH,6
156,56,2,2016,Kansas State University,Big 12,KS,6
415,56,2,2017,Central Connecticut State University,NEC,CT,6
674,56,2,2018,Florida State University,ACC,FL,6
936,56,2,2019,University of Georgia,SEC,GA,6
1196,56,2,2020,The University of Alabama,SEC,AL,6
157,57,2,2016,Clemson University,ACC,SC,6
416,57,2,2017,Vanderbilt University,SEC,TN,6
675,57,2,2018,Sam Houston State University,WAC,TX,6
937,57,2,2019,Stanford University,PAC-12,CA,6
1197,57,2,2020,Florida State University,ACC,FL,6
158,58,2,2016,"University of Maryland, College Park",Big Ten,MD,6
417,58,2,2017,Louisiana State University - Baton Rouge,SEC,LA,6
676,58,2,2018,University of Colorado Boulder,PAC-12,CO,6
938,58,2,2019,University of Central Florida,AAC,FL,6
1198,58,2,2020,Boise State University,MW,ID,6
159,59,2,2016,Florida State University,ACC,FL,6
677,59,2,2018,Louisiana State University - Baton Rouge,SEC,LA,6
939,59,2,2019,Ohio State University,Big Ten,OH,6
1199,59,2,2020,Baylor University,Big 12,TX,6
160,60,2,2016,The University of Alabama,SEC,AL,6
419,60,2,2017,University of Colorado Boulder,PAC-12,CO,6
678,60,2,2018,Oklahoma State University,Big 12,OK,6
940,60,2,2019,University of Delaware,CAA,DE,6
1200,60,2,2020,University of Michigan-Ann Arbor,Big Ten,MI,6
161,61,2,2016,Ohio State University,Big Ten,OH,6
420,61,2,2017,North Carolina State University - Raleigh,ACC,NC,6
679,61,2,2018,Louisiana State University - Baton Rouge,SEC,LA,6
941,61,2,2019,University of Washington,PAC-12,WA,6
1201,61,2,2020,Louisiana State University - Baton Rouge,SEC,LA,6
162,62,2,2016,Samford University,SoCon,AL,6
421,62,2,2017,University of South Carolina,SEC,SC,6
680,62,2,2018,University of Pittsburgh,ACC,PA,6
942,62,2,2019,University of Massachusetts Amherst,Independent,NE,6
1202,62,2,2020,Boston College,ACC,MA,6
163,63,2,2016,Georgia Institute of Technology,ACC,GA,6
422,63,2,2017,Temple University,AAC,PA,6
681,63,2,2018,Auburn University,SEC,AL,6
943,63,2,2019,University of Virginia,ACC,VA,6
1203,63,2,2020,Mississippi State University,SEC,MS,6
165,64,3,2016,Middle Tennessee State University,C-USA,TN,6
682,64,2,2018,Ohio State University,Big Ten,OH,6
944,64,2,2019,University of Mississippi,SEC,MS,6
1204,64,2,2020,Southern Illinois University Carbondale,MVFC,IL,6
166,65,3,2016,Pennsylvania State University,Big Ten,PA,5
425,65,3,2017,University of North Carolina at Charlotte,C-USA,NC,5
684,65,3,2018,North Carolina A & T State University,Big South Conference,NC,5
946,65,3,2019,Boston College,ACC,MA,5
1206,65,3,2020,University of Wyoming,MW,WY,5
167,66,3,2016,University of South Carolina,SEC,SC,5
426,66,3,2017,University of Colorado Boulder,PAC-12,CO,5
685,66,3,2018,University of Georgia,SEC,GA,5
947,66,3,2019,University of Toledo,MAC,OH,5
1207,66,3,2020,University of Memphis,AAC,TN,5
168,67,3,2016,University of Nebraska - Lincoln,Big Ten,MA,5
427,67,3,2017,University of Tennessee,SEC,TN,5
686,67,3,2018,University of Miami,ACC,FL,5
948,67,3,2019,Baylor University,Big 12,TX,5
1208,67,3,2020,University of Notre Dame,ACC,IN,5
169,68,3,2016,Mississippi State University,SEC,MS,5
428,68,3,2017,University of Illinois at Urbana-Champaign,Big Ten,IL,5
687,68,3,2018,Stanford University,PAC-12,CA,5
949,68,3,2019,Florida State University,ACC,FL,5
1209,68,3,2020,"University of California, Berkeley",PAC-12,CA,5
170,69,3,2016,"University of Maryland, College Park",Big Ten,MD,5
429,69,3,2017,Eastern Washington University,Big Sky Conference,WA,5
688,69,3,2018,North Carolina State University - Raleigh,ACC,NC,5
950,69,3,2019,San Jose State University,MW,CA,5
1210,69,3,2020,Louisiana State University - Baton Rouge,SEC,LA,5
171,70,3,2016,Brigham Young University,Independent,UT,5
430,70,3,2017,Ohio State University,Big Ten,OH,5
689,70,3,2018,Brigham Young University,Independent,UT,5
951,70,3,2019,University of Memphis,AAC,TN,5
1211,70,3,2020,The University of Texas at Austin,Big 12,TX,5
172,71,3,2016,Boise State University,MW,ID,5
431,71,3,2017,Indiana State University,MVFC,IN,5
690,71,3,2018,University of Oregon,PAC-12,OR,5
952,71,3,2019,Ohio State University,Big Ten,OH,5
1212,71,3,2020,Texas A&M University,SEC,TX,5
173,72,3,2016,Florida State University,ACC,FL,5
432,72,3,2017,Western Kentucky University,C-USA,KY,5
953,72,3,2019,North Carolina State University - Raleigh,ACC,NC,5
1213,72,3,2020,University of Houston,AAC,TX,5
174,73,3,2016,The University of Alabama,SEC,AL,5
433,73,3,2017,Kansas State University,Big 12,KS,5
692,73,3,2018,Ohio State University,Big Ten,OH,5
954,73,3,2019,Iowa State University,Big 12,IA,5
1214,73,3,2020,Ohio State University,Big Ten,OH,5
175,74,3,2016,University of Notre Dame,ACC,IN,5
434,74,3,2017,University of Michigan-Ann Arbor,Big Ten,MI,5
693,74,3,2018,University of Louisville,ACC,KY,5
955,74,3,2019,Florida Atlantic University,C-USA,FL,5
1215,74,3,2020,University of Wisconsin - Madison,Big Ten,WI,5
176,75,3,2016,Michigan State University,Big Ten,MI,5
435,75,3,2017,Louisiana State University - Baton Rouge,SEC,LA,5
694,75,3,2018,Florida State University,ACC,FL,5
956,75,3,2019,Texas A&M University,SEC,TX,5
1216,75,3,2020,Ohio State University,Big Ten,OH,5
177,76,3,2016,Auburn University,SEC,AL,5
436,76,3,2017,Florida State University,ACC,FL,5
695,76,3,2018,Oklahoma State University,Big 12,OK,5
957,76,3,2019,Ohio State University,Big Ten,OH,5
1217,76,3,2020,University of Illinois at Urbana-Champaign,Big Ten,IL,5
178,77,3,2016,West Virginia University,Big 12,WV,5
437,77,3,2017,Texas A&M University,SEC,TX,5
696,77,3,2018,Ohio State University,Big Ten,OH,5
958,77,3,2019,University of Michigan-Ann Arbor,Big Ten,MI,5
1218,77,3,2020,University of Iowa,Big Ten,IA,5
179,78,3,2016,North Carolina State University - Raleigh,ACC,NC,5
438,78,3,2017,The University of Alabama,SEC,AL,5
697,78,3,2018,The University of Texas at Austin,Big 12,TX,5
959,78,3,2019,University of Wisconsin - Madison,Big Ten,WI,5
1219,78,3,2020,Temple University,AAC,PA,5
180,79,3,2016,Oregon State University,PAC-12,OR,5
439,79,3,2017,The University of Alabama,SEC,AL,5
698,79,3,2018,University of South Carolina,SEC,SC,5
960,79,3,2019,University of Michigan-Ann Arbor,Big Ten,MI,5
1220,79,3,2020,Florida State University,ACC,FL,5
181,80,3,2016,Ohio State University,Big Ten,OH,5
440,80,3,2017,Ohio University,MAC,OH,5
699,80,3,2018,Mississippi State University,SEC,MS,5
961,80,3,2019,Brigham Young University,Independent,UT,5
1221,80,3,2020,University of Kentucky,SEC,KY,5
182,81,3,2016,Stanford University,PAC-12,CA,5
441,81,3,2017,"University of California, Los Angeles",PAC-12,CA,5
700,81,3,2018,Colorado State University,MW,CO,5
962,81,3,2019,Boston College,ACC,MA,5
1222,81,3,2020,University of South Carolina,SEC,SC,5
183,82,3,2016,Texas Tech University,Big 12,TX,5
