,player_id,pick,year,t_name,c_name,state
523,685,66,2018,University of Georgia,SEC,GA
524,1207,66,2020,University of Memphis,AAC,TN
525,167,66,2016,University of South Carolina,SEC,SC
526,947,66,2019,University of Toledo,MAC,OH
527,948,67,2019,Baylor University,Big 12,TX
528,686,67,2018,University of Miami,ACC,FL
529,168,67,2016,University of Nebraska - Lincoln,Big Ten,MA
533,1208,67,2020,University of Notre Dame,ACC,IN
534,427,67,2017,University of Tennessee,SEC,TN
538,949,68,2019,Florida State University,ACC,FL
539,169,68,2016,Mississippi State University,SEC,MS
540,687,68,2018,Stanford University,PAC-12,CA
541,1209,68,2020,"University of California, Berkeley",PAC-12,CA
542,428,68,2017,University of Illinois at Urbana-Champaign,Big Ten,IL
546,429,69,2017,Eastern Washington University,Big Sky Conference,WA
547,1210,69,2020,Louisiana State University - Baton Rouge,SEC,LA
548,688,69,2018,North Carolina State University - Raleigh,ACC,NC
549,950,69,2019,San Jose State University,MW,CA
550,170,69,2016,"University of Maryland, College Park",Big Ten,MD
554,689,70,2018,Brigham Young University,Independent,UT
555,171,70,2016,Brigham Young University,Independent,UT
556,430,70,2017,Ohio State University,Big Ten,OH
557,1211,70,2020,The University of Texas at Austin,Big 12,TX
558,951,70,2019,University of Memphis,AAC,TN
559,172,71,2016,Boise State University,MW,ID
560,431,71,2017,Indiana State University,MVFC,IN
561,952,71,2019,Ohio State University,Big Ten,OH
562,1212,71,2020,Texas A&M University,SEC,TX
564,690,71,2018,University of Oregon,PAC-12,OR
565,173,72,2016,Florida State University,ACC,FL
566,953,72,2019,North Carolina State University - Raleigh,ACC,NC
567,1213,72,2020,University of Houston,AAC,TX
568,432,72,2017,Western Kentucky University,C-USA,KY
569,954,73,2019,Iowa State University,Big 12,IA
570,433,73,2017,Kansas State University,Big 12,KS
571,1214,73,2020,Ohio State University,Big Ten,OH
572,692,73,2018,Ohio State University,Big Ten,OH
573,174,73,2016,The University of Alabama,SEC,AL
574,955,74,2019,Florida Atlantic University,C-USA,FL
575,693,74,2018,University of Louisville,ACC,KY
576,434,74,2017,University of Michigan-Ann Arbor,Big Ten,MI
577,175,74,2016,University of Notre Dame,ACC,IN
578,1215,74,2020,University of Wisconsin - Madison,Big Ten,WI
579,694,75,2018,Florida State University,ACC,FL
580,435,75,2017,Louisiana State University - Baton Rouge,SEC,LA
581,176,75,2016,Michigan State University,Big Ten,MI
582,1216,75,2020,Ohio State University,Big Ten,OH
583,956,75,2019,Texas A&M University,SEC,TX
585,177,76,2016,Auburn University,SEC,AL
586,436,76,2017,Florida State University,ACC,FL
587,957,76,2019,Ohio State University,Big Ten,OH
588,695,76,2018,Oklahoma State University,Big 12,OK
589,1217,76,2020,University of Illinois at Urbana-Champaign,Big Ten,IL
593,696,77,2018,Ohio State University,Big Ten,OH
594,437,77,2017,Texas A&M University,SEC,TX
596,1218,77,2020,University of Iowa,Big Ten,IA
597,958,77,2019,University of Michigan-Ann Arbor,Big Ten,MI
598,178,77,2016,West Virginia University,Big 12,WV
599,179,78,2016,North Carolina State University - Raleigh,ACC,NC
600,1219,78,2020,Temple University,AAC,PA
601,438,78,2017,The University of Alabama,SEC,AL
602,697,78,2018,The University of Texas at Austin,Big 12,TX
603,959,78,2019,University of Wisconsin - Madison,Big Ten,WI
604,1220,79,2020,Florida State University,ACC,FL
605,180,79,2016,Oregon State University,PAC-12,OR
606,439,79,2017,The University of Alabama,SEC,AL
607,960,79,2019,University of Michigan-Ann Arbor,Big Ten,MI
608,698,79,2018,University of South Carolina,SEC,SC
609,961,80,2019,Brigham Young University,Independent,UT
610,699,80,2018,Mississippi State University,SEC,MS
611,181,80,2016,Ohio State University,Big Ten,OH
612,440,80,2017,Ohio University,MAC,OH
613,1221,80,2020,University of Kentucky,SEC,KY
614,962,81,2019,Boston College,ACC,MA
615,700,81,2018,Colorado State University,MW,CO
616,182,81,2016,Stanford University,PAC-12,CA
617,441,81,2017,"University of California, Los Angeles",PAC-12,CA
620,1222,81,2020,University of South Carolina,SEC,SC
621,442,82,2017,Louisiana Tech University,C-USA,LA
622,183,82,2016,Texas Tech University,Big 12,TX
623,701,82,2018,University of Louisiana at Lafayette,SBC,LA
624,963,82,2019,University of North Carolina at Charlotte,C-USA,NC
625,1223,82,2020,University of Oklahoma,Big 12,OK
629,1224,83,2020,Louisiana State University - Baton Rouge,SEC,LA
630,964,83,2019,Michigan State University,Big Ten,MI
631,184,83,2016,University of Georgia,SEC,GA
632,702,83,2018,University of Oklahoma,Big 12,OK
636,443,83,2017,Youngstown State University,MVFC,OH
637,703,84,2018,North Carolina State University - Raleigh,ACC,NC
